"","Adipocytes","Astrocytes","B_cells","Cardiomyocytes","Dendritic_cells","Endothelial_cells","Epithelial_cells","Erythrocytes","Fibroblasts","Granulocytes","Hepatocytes","Macrophages","Microglia","Monocytes","Neurons","NK_cells","Oligodendrocytes","T_cells"
"80","Prrx1","Clu","Ptprc","Fndc5","Selplg","Gja1","Iqca","Hebp1","Gpx3","Ncf4","Apol9a","Dok2","Cttnbp2nl","Lsp1","Dpp6","Itgam","Kcna1","Treml2"
"81","Ghr","C4b","Rac2","Nppb","Slamf7","Edn1","Mdh1b","Ankle1","Fat1","Adpgk","C3","S100a4","Rasal3","Arl5c","Scn8a","Tyrobp","Mapt","Als2cl"
"82","Fbln2","Gja1","P2ry10","Hfe2","Emr4","Lims2","Dnali1","Cdk1","Ddr2","Rac2","Aqp8","Myo1g","Ikzf1","Nfe2","Gad2","Fcer1g","B3gat1","Fyb"
"83","Htra3","Slco1c1","Gimap4","Art1","Lgals3","Crip2","Col8a2","Kif18b","Osmr","Pygl","Serpina3m","Rgs18","Tjp1","Cbfa2t3","Ptprn","Ccr5","Efhd1","Rgs10"
"84","Pcolce","Psd2","Dtx1","Kcnj11","Lpl","9430020k01rik","Eno4","Gpx1","Kirrel","Bmx","Fetub","H2-aa","Pde3b","Fcgr3","Camkv","Nr4a2","Scd2","Acp5"
"85","Col5a3","Pcdh10","Ptpn6","Mylk4","Plek","Jam2","Fam47e","Abcb10","Crispld2","C3","Scd1","Myo1f","Ncf1","Csf2ra","Atp1a3","Fyb","Apbb1","Stat4"
"86","Dpt","Ptn","Sash3","3425401b19rik","Laptm5","Arhgap29","1700028p14rik","Rrm2","Mxra8","Cd52","Cyp2d10","Cd48","Parvg","Cd300a","Tmod2","Slamf7","Trf","Gm14085"
"87","Mrap","Rgs20","Snn","Hspg2","Anxa1","Akr1c14","Plekhb1","Bpgm","Igfbp5","Lst1","Serping1","Pla2g7","P2ry6","Ppfia4","Dock3","Gimap9","Ptprd","Itgb2"
"88","Acacb","Mmd2","Ccr6","Lrrc10","Lsp1","C920021l13rik","Ccdc146","Fech","Efemp2","Hck","Hnf4a","Selplg","Laptm5","Spn","Cadm3","Gimap5","Bcas1","Fam78a"
"89","Gnai1","Ndrg2","Cd83","Rpl3l","Arhgap30","Ifitm3","Sdc4","Plek2","Flnc","Coro1a","Hrg","Tgfbi","Med12l","Irf8","Kcnq2","Cytip","Syt11","Dock2"
