"","Adipocytes","Astrocytes","B_cells","Cardiomyocytes","Dendritic_cells","Endothelial_cells","Epithelial_cells","Erythrocytes","Fibroblasts","Granulocytes","Hepatocytes","Macrophages","Microglia","Monocytes","Neurons","NK_cells","Oligodendrocytes","T_cells"
"583","Slco2b1","Fam176a","Abcd1","Cenpb","G6pdx","Trim47","Pf4","Ift80","Ptpn14","Ly6c1","Cyp2c68","Dhrs3","Pcdhga9","Gas7","B4galnt4","Jdp2","Llgl1","Atp2a3"
"584","Acadvl","Fxyd3","Eif4a2","Lass4","Capn1","Glt25d2","Dzip1l","Dnase2a","Gm1821","1600014c10rik","F13b","Unc119","Apobec3","Rpl36","Pde1b","Tbrg3","Dscaml1","Ttc39b"
"585","Ppp2r5a","Arap2","Scd2","Slc43a3","Gsdmd","Plvap","Fam46a","Blm","Tnk2","Adrbk1","Pgm2","Elf4","Man1c1","Sh2b2","Atxn2l","S1pr1","Ctnnd1","2410006h16rik"
"586","Dcbld2","Cml3","Eml4","Fry","0610039k10rik","Casp8","Ptma","Lsm4","Golim4","Atxn10","Tuba4a","Glrx5","Zfp385a","Btla","Epha3","Zfp36l1","Dstn","Csk"
"587","Lpgat1","Notch2","Ptprj","Sdhb","Plekho2","Rapgef5","1700029j07rik","Tfrc","Mmp16","Clic1","Src","Rin3","Bcl2a1b","Psmg4","Mmp16","Chsy1","Gria4","Irf4"
"588","Fgfrl1","B3galt2","Zcchc18","Magix","Fam111a","Slc6a6","Ap3m2","Ppm1d","Psat1","Oaz1","Ugdh","Ccdc88a","Dip2b","Cib2","Elmo1","Rock1","Rdh11","Tnfrsf1a"
"589","Ftl1","Mobp","Txndc5","Tfpi","Ptk2b","Rap1b","Atp5g1","Rps9","Tgfb1","Hist1h2ac","Bc048546","Ltbr","Cacnb2","Psma7","Ppfia4","Actb","Fyn","Icam2"
"590","Sh3kbp1","Soat1","Unc119","Zfp36","Anxa4","Msn","Pgam1","Abcg2","Robo1","Lrrfip1","Ccl9","Rplp1","Ldhb","Bri3bp","Rasal2","Camk2b","Hspg2","Itga6"
"591","Chst15","Atp8a1","Gm15421","Igfbp7","Trpv2","Sept10","Spnb2","Ifi35","Dkk2","Fbxo10","Gsdmd","Zbtb12","Gpr77","Rps26","Akt3","Traf3ip3","Pgk1","Tnk2"
"592","St3gal1","Dtx1","Plaur","Lgals1","C1qc","Txnip","Nwd1","Katnal1","Dock11","Slc28a2","Gsr","Ms4a6c","Zfp369","Ube2a","Myo1b","Angpt1","Mrfap1","Bmyc"
"593","Gm1821","Slc25a34","Uba7","Paqr9","Itk","Casp12","Dgat2","Prtn3","Plk2","Ttc7","D730039f16rik","Ceacam1","Rhobtb1","Baz1a","Sipa1l1","Ptgs1","Slc35b2","Rpl7"
"594","Map3k15","Mical1","Pde4b","Ehbp1","Mmp25","Tmem47","Sec61b","Rps18","Dab2","Ccdc125","0610040j01rik","Cxcl16","Lyst","Junb","Lingo2","Anxa6","Slc39a3","Sec61b"
"595","Cap1","Ptk2","Csrnp1","Raly","Psd","Tmem140","Ephx4","Ctss","Gprc5a","Myo1d","C1rl","Trim30a","Mast4","Arpc3","Slc35f3","Mical1","Leprot","Panx1"
"596","Ogn","Scn8a","E330020d12rik","Pink1","Slc2a3","Rps3","Naaa","Mboat2","Gsto1","Klf5","Litaf","Cdk14","Cap1","Gm14446","Cacna1c","D14ertd449e","9430020k01rik","Tgfbr3"
"597","Arl4a","Sorl1","Dennd4b","Col15a1","Soat1","1110059e24rik","Marcks","Abca7","Raly","Ndrg1","Sephs2","Luzp1","Cyfip1","Neurl2","Nav2","Fam19a3","Phlpp1","Srebf2"
"598","Nfia","Maml2","Rps2","Igsf1","Ets1","Birc3","Zfp820","Ccdc99","Igdcc4","Chst15","Plaur","Scand1","Sipa1l2","6330407a03rik","Syt16","Sltm","Slco3a1","Cd84"
"599","Ptpn14","Plekhg2","Rpl8","Atp5e","Pfn1","Trappc2","Poldip3","Rpl18","Pcdh9","Pik3cg","Gldc","Scn1b","Tlr4","Ndufb9","9030425e11rik","Unc13d","Gm13889","Dlg4"
"600","Afg3l2","Mef2d","Rnf122","Grip2","F630110n24rik","Isg15","Rpl7","Ikzf1","Casp12","Mctp2","Pla1a","Slfn8","D18ertd653e","2310009b15rik","Camta1","Fmnl1","Rap1a","Eya2"
"601","Hoxc6","Stard13","Wipf1","Plekhm2","Egr1","Luzp1","Fas","Mir684-1","Ptn","Stk10","Tmem176a","Etv5","Diap2","Ndufa13","Hpca","Pik3ap1","Rhob","Hvcn1"
"602","Ece1","Apobec3","Gmip","Slc20a2","Neat1","Marcks","Itpr1","Cd37","Junb","Smox","Mapkapk2","Stx3","Tnfrsf1a","Rpl29","Socs2","Iqgap1","Urm1","Irgm1"
"603","Edem1","Col4a5","Ddit4","Atp5b","Apoc2","2900026a02rik","Ndufa4","Cfl1","Ubb","Atp1a3","Prkaa2","9030625a04rik","Ttc39b","H2-k1","Pcsk1","Mfap1b","2310028h24rik","Lrrc33"
"604","Ndufa9","Clybl","Rgs14","Cxadr","Lrrfip1","Igf1r","Klhl9","Ifi27l2a","G6pdx","Slc35a5","Ptk2b","Fgd4","Pign","H2-ke2","Mgat5b","Trim56","Fam102a","Psme2"
"605","Scp2","Elovl2","Syvn1","Fam131a","Zfp36","Tspan15","Sept10","Fermt3","Scrn1","Ptpre","2810459m11rik","Cmtm7","Aldoc","Cyp4f16","Rnf150","Atm","Pik3r3","Rpl27a"
"606","Dapk1","Hip1","Zfp608","Pabpc4","Mobkl1b","Cand2","Arl4a","Gnai2","Asns","Sox13","Atp9a","Myo1c","Mylip","Dpp4","Tuba1a","Prpf4b","Caskin2","Cmtm7"
"607","Pcsk5","St6galnac5","Ifi27l2a","Fam166a","Rin2","Trp53i11","Cox6a1","Hist1h4k","Loc100616095","Cdk5r1","Glyctk","Wbp5","Lmo2","Fcnb","Apeg3","Ccdc88a","Prickle2","Ikzf4"
"608","Aldh1l2","Ggta1","Parp1","Orf61","Klra8","Fam43a","Gtf2a1","Nrip3","Npr2","Ttyh3","Angptl4","Bc002163","Polr2a","Hhex","Cdc7","Ankrd26","Dgat2","Mtss1"
"609","Axl","Zbed6","Phf15","Cfh","Sun2","Rpl7","Sat1","Rps2","Vegfa","Abca13","Ttc39c","Clec10a","A130022j15rik","Lgals9","Syt6","Pkp4","Rassf2","Bc006779"
"610","Hadhb","Sparc","Pik3cg","Lum","Klrb1a","Fam176a","Ccdc114","Traf4","Egr1","Abtb2","B4galnt1","B3galnt1","Extl3","Tpt1","Fam19a2","Rbpms","Spcs1","Trim12c"
"611","Slc43a3","Dlc1","Pigt","Epb4.1","Niacr1","Syt15","Fam183b","Bag2","Plekhg2","Sipa1","Cth","Sfxn1","Klf7","Fxc1","Prmt8","Wdr43","Ctsk","Cnn3"
"612","Bscl2","Tbrg3","Man1a","1700025g04rik","Ttc39b","Uqcrb","Set","Ifi30","Tns1","Flna","Gm10319","Tns3","Lrrfip1","Grcc10","Tnfrsf21","Il17ra","Entpd5","Stk39"
"613","Spnb2","Ephb3","Ptpn18","Atp5c1","Zyx","Msrb3","Nckap1","Fads1","Ugdh","Slc25a24","Epn1","Hpse","Naalad2","Hmgb2","Casc4","Ythdc1","Fmnl2","Racgap1"
"614","Lum","Ephx2","Ltk","Gpr157","Bc006779","Kbtbd11","Fam164a","Nudt19","Zmat3","Gmip","Ldha","Cbfa2t3","Trpv2","Rpl38","Dmd","Fosl2","Ppap2b","Tbc1d4"
"615","Ppif","Pdlim4","Pkib","9430020k01rik","Dpep2","2610019f03rik","Pla2g16","Tmem9","Adamts4","H2-ab1","Kynu","Cpd","Ankrd44","B2m","Pde1a","Lrrcc1","Abcg1","Slc7a6"
"616","Uqcrq","Pitpnm2","Gng2","Dynll2","Procr","Nhsl1","Ttll3","Tmem134","Nrp1","Nt5e","Slc22a18","Rras2","Sgce","C1rl","Hn1","Mir1931","Hmgcr","Arap2"
"617","Sema6d","Chd7","Hsh2d","Uqcrh","Treml2","Rps19","Usmg5","Epdr1","B4galt1","Notch1","Smyd2","Rhoq","Mtap1a","Ctse","Htr4","Arhgap25","Syngr2","D16ertd472e"
"618","Adra1a","Sfrs18","Snx5","Tpi1","Tpm4","Cd24a","Zfp808","Oasl1","Inf2","Hist2h2ac","Anks4b","Cerk","Serpinf1","Fcgrt","Loc329427","Hoxb3","Nkd1","Npm1"
"619","O3far1","Gabrg1","Usf1","Epn3","A230073k19rik","Mtmr11","D14ertd449e","H2-t23","Malat1","Il6ra","Cdk18","Gsr","B4galt6","Gm9733","Sez6l2","Nop58","Rpl7a","Arhgef6"
"620","Spp1","Tmem131","Dennd2d","Tmem144","Rap1gap2","Pdzd2","Ndufa11","Slc29a1","Fos","Lrrc33","Apon","Rps29","Dcbld2","Ogfrl1","Spna2","Mir703","Plk3","Ccr2"
"621","Gnao1","Vcam1","Rps19","Cuedc1","Notch2","Atp8a1","2610301b20rik","B2m","Nme2","Cap1","P4ha2","Man2a1","Plekhm1","Purb","Gabrb1","Usp36","Slc25a4","Cd74"
"622","Timp4","Lfng","Rassf4","Tmem150a","Slc41a2","Marveld2","Rbms1","Cenpp","Scpep1","Mefv","Raly","Cyfip1","Srpk3","Rbm38","Celf3","Gm11968","Dusp8","Iigp1"
"623","Cyc1","Plxna1","Ceacam2","Aldh2","Malt1","Prkcdbp","Rps14","Mtfr1","Slc7a5","Ampd3","Cyp2d11","Pelp1","Apc","Sod1","Ppia","Jak1","Fam107b","Nrn1"
"624","Extl3","Igf1r","Sidt1","Parm1","Mcoln2","Slc30a4","Ssbp2","Oas1b","Il13ra1","Flot1","Irgm1","Tspan32","Rasa4","1110007c09rik","Sema3a","Lyn","Rims2","Rpl21"
"625","Acly","Ctnnd1","Celf2","Snta1","Efhd2","Crim1","Arhgap18","Eif2ak2","Scara3","Jdp2","Asl","Snx8","Zfp36","Apoc1","Slit3","Ammecr1","Enoph1","Slc14a1"
"626","Il1r1","Csdc2","Col27a1","Tbc1d16","Pdgfb","Pcdh17","Atp6ap2","Rps5","Fcgrt","Bmpr1a","Pvr","Anxa4","Trim36","Gm13476","Tcf4","Tsc22d4","Smad7","Mrps6"
"627","Ahcyl2","Pard3b","Slc43a1","Gsk3a","Zbp1","Pitpnc1","Gm216","Ttll12","Angptl4","Ly6d","Tgm1","Cxx1a","Tspan18","Ifit3","Fgf9","Rps14","Tnfrsf21","Sympk"
"628","H2-gs10","Cachd1","Arhgef1","Syt7","Dock7","Atp10a","Srp14","2210020m01rik","Atxn2l","Rhbdf2","Grlf1","Plekho2","Atm","Ear2","Cntn6","Sepn1","Ehd1","Grk6"
"629","Tinagl1","Greb1","Crot","Gab1","Pim1","Tpm4","St3gal6","Btg2","Phgdh","Igf2r","Pah","Icam2","Hvcn1","Gsn","Enpp5","Plod2","Cdc42se2","Uck2"
"630","Tenc1","Caskin2","Apobec1","Gpam","Mical1","Rps9","1110059m19rik","Hist1h2bj","Slc25a4","Tcn2","Eif6","Slc24a6","Snx22","Mafb","Cnnm1","2510006d16rik","Dtna","Prps2"
"631","Arhgap23","Tmem164","Gm505","Ky","Metrnl","H3f3a","Nebl","Nek2","Arsj","Trim12a","F7","1500011k16rik","Tagap","Tns3","Jakmip1","Cd300lf","Rasal1","Atp8b4"
"632","Dap","Abat","Plxnc1","Pdgfrb","Ms4a6c","Mfsd2a","Plin3","Csf1r","Clic4","Zbtb7b","Acads","Cebpd","C330021f23rik","Cd2ap","Dgkh","Mmgt2","Ctsl","Hnrpll"
"633","Ehhadh","Chd9","Slc44a2","Vim","Ifi47","Myo1c","Rab31","Mafk","Lrp5","Cdc42ep3","Gm13498","Epha2","Mib1","Gm11517","Galntl6","Zfp827","Gm12070","Snai3"
"634","Rbpms","Tanc2","Rpl21","Ndufb9","Mafb","Nmi","Car2","Mylpf","Psrc1","Lasp1","Gclc","1810027o10rik","Huwe1","Fbxw4","Pkia","Limd2","Rtkn2","Ankrd44"
"635","Bcl2l13","Dner","Sun2","Arhgap26","Cd274","Rps11","Iqck","Bsdc1","Csrp1","Rps6ka2","Plcxd2","Cdk18","Rgl1","Prkx","Plch2","Dpy19l1","Atp5f1","Pou2af1"
"636","Ppargc1b","Npdc1","Zbtb4","F11r","Arl5a","Scgb3a1","Strbp","Cmpk2","Nbea","Prickle3","Rbpms","Taok3","Atxn2l","Tcof1","Zeb1","Nfatc1","Far1","Ralgps2"
"637","Gda","Ppp1r3g","Zbtb20","Ndufa10","H2-dmb2","Selm","Sall2","Acap3","Procr","Sipa1l2","Stom","Hdac9","Ipo7","Arid3a","Tmem178","Zbed6","Brp44l","Adam19"
"638","Ggt5","Parp8","Gnb2l1","Cyc1","Sept9","Gm12250","Elmod1","Tgm2","Soat1","Slc7a11","Tmem205","Plcb1","Bc005561","Batf3","Ttc19","Cotl1","Orf61","Samsn1"
"639","Cox5a","Gm266","Trpv2","Ltbp3","Ccdc50","Lrp8","Ndufb8","Cdc42bpa","Alcam","Prr7","Agxt2","Sorbs3","Map4k3","Tmem109","Adcy2","Nlrc3","Arpc1a","Setd7"
"640","Ctgf","Magi3","Adrbk1","Myot","Prg2","Nr4a2","Adh5","Fth1","Avpr1a","Aqp1","Ell2","Tspo","Itpripl2","Eif4e3","Rap1gap","Sla2","Clptm1","Fasn"
"641","Bsg","Pfkfb3","Mark4","Arhgef10l","Cdk18","Rras","Pitpnc1","Rpl29","Clstn1","Arap1","Cdc42bpb","Msn","Slc46a1","Rnd3","Ywhaq","Akna","Bicd2","Junb"
"642","Zbtb16","Pon2","Cyth1","Dsc2","Ankrd44","Wdfy3","Rps19","Tspan13","Rbp1","Il18r1","Trim25","Adcy7","C230081a13rik","Hist1h4k","Krt12","Fermt3","Clcn3","Pde3b"
"643","Anxa6","Vps13d","Gpx1","Uaca","Lars2","Il13ra1","Sntn","Clcn2","Il1rap","Ostf1","Cat","Ccdc50","Mrc1","Prr5l","Sgsm1","Nos1ap","Wasf1","Carns1"
"644","Slc44a3","Apc","Rara","2310014f07rik","Lgals9","Maged1","Cachd1","Gcnt1","Creb3l2","Bcl6","Rorc","Scamp5","Cerk","Rps2","St6galnac5","Dnajb4","Lamp1","Tfdp1"
"645","Adam15","Arap1","Slamf9","Arhgef12","Tns3","Ncoa7","Rnft1","Mcart1","Gm14005","Gpr141","Selenbp2","Fau","Slc16a6","Gm12034","Znrf1","Stk39","Scamp4","Txnip"
"646","Dcun1d3","Phactr1","Evl","Pla2g16","Wipf1","H2-gs10","Slc31a1","Rps10","Nr1d1","Arsg","Ankrd1","Cd3eap","Usp24","Cisd1","Clvs2","Kcnq1ot1","Btbd16","Crot"
"647","Npc2","Camk2n1","Trim59","Prdx3","Plxnd1","Pam","Mrps33","Pabpc1","Myo1h","Myd88","Slc16a10","Rap1b","Cyp4v3","I830012o16rik","Gucy1a3","Mllt4","Ipo13","Rin3"
"648","Nrp1","Chst10","Tns3","Fcgrt","Ntng2","Zfp820","Ttll9","Rgs12","Pcp4l1","Id1","Tdo2","St6gal1","Arhgef11","Marcks","Bcl11b","Mfap1a","Kcnk13","Baz1a"
"649","Ptplb","Mgat5","Ttc7","Aldoa","Plxna1","Lass4","Ift122","Sept1","Selm","Fam111a","Cyp26a1","Diap1","Casp4","Tep1","Fbxo41","Gm15421","Tmem117","Bhlhb9"
"650","Scd4","Pdk4","Zfp518a","Cpeb3","Tap2","Mitd1","Usp22","Rps19-ps3","Crim1","Ptgir","Ppif","Pura","Kif13b","Gm5424","Hivep2","Ing2","Lrrc8b","Sgms1"
"651","Nek6","Itih5","Cxcr4","Adcy5","Parp14","Prkd2","B4galt1","Orc1","Pbxip1","2410004a20rik","Bmp8b","Gm13476","Ggta1","Cdc42ep4","Usp11","Cd72","Fam125b","Gstt2"
"652","Rasa3","Pcdhga12","Arhgef3","Fam160a1","Plxnc1","Tgfa","Scoc","Rpia","Ptges","Fam122a","Dusp16","Pitpnc1","Cep290","Cmpk2","Abi2","Prkacb","Frmd4b","Itpr3"
"653","Pde1a","4931406h21rik","Add3","Aldh6a1","Ctla2a","Maml2","Gbp7","1500032l24rik","Trnp1","Mfsd6","F11","Tcf7l2","Eml6","Klrb1f","Bcat1","Rin3","Ppp2r5b","Rpl3"
"654","Adam23","Mll3","B4galt5","Gm19461","Hs3st3b1","Calm1","Gcnt1","D930015e06rik","3110003a17rik","Zdhhc18","P2rx4","C030046e11rik","Mdm4","Pak1","Syt11","Rpl38","4930402h24rik","Trpv2"
"655","Ctsh","Rpe65","Rps9","Ndufb6","Naip2","Rps5","Prdx6","E130306d19rik","Angptl7","Eif4ebp1","Foxa3","Pla2g4a","Itpripl1","Rbfa","Atpif1","Zmat1","1700040n02rik","Vps26b"
"656","Met","Dclk2","B2m","Dusp8","Clic1","Stox2","Fkbp9","Rcc1","Srgap3","Rps9","Irf6","Tspan31","Cpeb4","Sdad1","Dagla","Gm12034","8430427h17rik","Meis3"
"657","Ngfr","Eps8","Ccdc50","Amotl2","Stk10","Arl6ip1","Trpv4","Sertad3","Capn2","Smpdl3a","Mmp14","Capza2","Evl","Dleu2","B3gat1","Pycard","Snx30","Pou6f1"
"658","Pex11a","Gm11149","Ryr1","Crybg3","Txnip","Lrrfip1","Tnfrsf19","Asns","A430107o13rik","Lmtk2","Arhgef12","Pdgfa","Evi2a","Nr4a1","Nedd4l","Slain1","1110007c09rik","Arhgef11"
"659","B4galt1","Szt2","Zfp146","Kcnj2","Cd28","Ddx58","Mlc1","Memo1","Bnc2","Stfa2","Dhx58","Ttc39b","Rreb1","Raly","Cxadr","Tbca","Rpsa","Cdc25b"
"660","Nudt7","Palld","Abca3","Myadm","Zap70","Rps7","Cycs","Ncapg","Plekhh2","Plxnc1","Psmb8","Man2b2","Acat3","Dpy19l1","Slc25a5","Xrn2","Zcchc24","Capn1"
"661","Sla2","Tspyl2","Cd2ap","Agl","Mbp","Sept11","Morn1","Samd4","Slc39a6","Cldn1","4930506m07rik","Mapkapk2","Ifngr2","Skint3","Tnk2","A430078g23rik","Dock9","Celf2"
"662","Cdh5","Sik3","Ctsc","Hspa9","Pdia4","Pdcd10","Rdm1","Grtp1","Tnks1bp1","Tmem216","Gm1821","Tiam1","Stxbp2","Ai413582","Adarb1","Mll5","Zdhhc14","Gsn"
"663","Rreb1","Sirpa","Mtap7","Htra1","Tmem154","Utrn","Ccdc151","Igtp","Zfp503","Cdc42ep2","Icam1","Pi16","Pard3b","Rps3","D430036j16rik","Pdap1","Slc12a4","Arhgef18"
"664","Cox6b1","Tns3","Ube2w","Lifr","Ifngr2","Agrn","Myef2","Srgn","Qsox1","Lmnb1","Ocln","Cd72","Frrs1","1810043h04rik","Accn2","Malt1","Strn","Ndrg2"
"665","Prodh","Ahi1","Man2a2","Sox18","Mllt6","Elmo1","Nras","Tcf3","Parp3","Ctsd","Hip1r","Lima1","Slc1a2","Sh2d3c","Celf2","Fhl2","Vamp2","Abca2"
"666","Ifih1","Col1a1","Prrc2a","0610009o20rik","Masp2","S100a13","Pcolce","Srxn1","Rpl32","Gp1bb","Sqle","Abcd2","Txnip","Slc25a4","Diras2","Orai2","Prkcb","Atxn2l"
"667","Msn","Ddah1","C1galt1","Mfn2","Aa467197","Prr5l","2900073g15rik","Mrps36","Bcl9l","Midn","Tjp2","Ehd4","Plxdc1","Rogdi","Rgs4","Smc3","Bzw1","Lrrc68"
"668","Atp5l","Dock9","Cd84","Ndufa9","Axl","Sgms1","Ech1","Mst1","Eml1","Orm2","Trib3","Snrpd1","Rel","B430306n03rik","Tacc2","Rbms1","Tcn2","Tnfrsf26"
"669","Kif1c","Pm20d1","Sept11","Egln1","Itga2","3110003a17rik","Cdca4","Tceb2","Rps19","9530077c05rik","Vat1","St8sia4","Cyba","Rpl28","Grem2","Tecpr1","Sorl1","Tnfsf11"
"670","Lbh","Pcdhga5","Dennd3","Tnni3k","Obfc2a","Wfdc1","Ttll5","Tubb5","Siglecg","Twf2","C6","Impdh1","Ccdc88a","Tuba4a","March4","Rasa3","Vbp1","Igf2r"
"671","Bcl9l","Acacb","Itpkb","Scn4a","Rnf128","4931406p16rik","Cbs","Chaf1a","Zcchc14","Dnahc6","Col4a1","Bzw2","Casp1","F630028o10rik","Cdh13","Srgap3","Col9a3","Prrc2a"
"672","Celf2","Cd247","Serp1","Afg3l2","Car2","Ace","Igf1r","S100a8","Rcn1","H2-t23","Gbp2","Sh3bp2","Elk4","Pdxk","Bex4","Ttc7","Rnf144a","Rps11"
"673","Nsdhl","Snap25","Txnip","Cobll1","Klrb1f","Pnp","Vim","Ncapd3","Tfpi","Entpd1","Sema4g","Lgals9","Gprasp1","Rpl22","Kcna6","Cast","Mtap7d1","Rps8"
"674","Utrn","Sorbs1","Arhgap24","Ctnnd1","Capn12","Rpl35","Isca1","Ogfrl1","Tnfrsf23","Kcnj2","Ets2","Scpep1","Tmem131","Bloc1s1","Scamp1","Add3","Rhoa","Cd81"
"675","Cs","Zfp423","Atm","Bace1","Plxdc2","Mmp15","Kcnj10","Zrsr1","Fasn","Tbkbp1","Hnf1a","D830031n03rik","Msn","Bex6","9430020k01rik","Camk1d","Ust","Il4ra"
"676","Plau","Crot","Arid5a","Ctnna3","B4galt5","Rtp3","Mpp7","Txn1","Has2","Clec2d","Mlkl","S1pr1","Ppm1h","Gm6251","A830010m20rik","Rhob","Sumo2","Eml5"
"677","Ralgapa2","Fzd2","Npm1","Pde3a","Stxbp2","Tm6sf1","Fads1","Brp44","Pdlim7","Irg1","Syt12","Ctla2b","Sh3kbp1","Gnai2","Cdkl2","Ptpre","Bpnt1","Ptk2b"
"678","Sdc4","Gltscr1","Prpf19","Sdhd","Agbl5","Casp7","Mr1","Cdc25c","Snx9","Ptk2b","Bc021767","Rp9","St6galnac4","1810027o10rik","Kcnip4","Dnajc21","Brsk2","Samhd1"
"679","Tcn2","Slc22a17","Sgms1","Cd34","Gm166","Arhgef12","Ppap2b","Tpm1","Loxl4","Atp11a","Irf5","C130050o18rik","4931406h21rik","Lpin1","Galnt14","Klrc3","Cttn","Tbc1d2b"
"680","Itga11","Ehbp1","Sh2b3","Ifrd2","Limd2","Nedd4","Ccl3","Cpeb3","Cacnb3","Mthfs","Tubb2b","Camkk2","Epsti1","Tspan33","Pcdha12","Ppp3ca","Tspan6","Zfp827"
"681","Cd93","Fasn","Card6","Abhd1","Spata13","Nrarp","Morn3","Mrpl53","Eif1a","Neat1","Prodh2","Ctsz","Myo7a","Dgat2","Slc39a10","Timp2","Ebp","Plcl2"
"682","Rbpms2","Npas2","Nsmce1","Ccnd2","Tctn1","Scamp1","Arhgap42","Ormdl3","Mylk","Tob1","Rras2","Dmxl2","Exoc6b","Commd4","Kctd16","Tmem163","Slc25a1","Twf2"
"683","Ppargc1a","Slc24a6","Pik3ip1","Bag2","Unc119","Hspa12b","Brp44l","Cited4","Anxa8","Tmcc1","Ugt1a9","Rpl22","Upk1b","Il13ra1","Wscd2","3110003a17rik","Akr1a4","Arl6ip5"
"684","Ankrd57","Ptprm","Rogdi","Col6a3","Capza2","Ctsh","Fn3k","Plk4","Dbn1","Hsh2d","Akr1c12","Cd2ap","Myo5a","Ndufs8","Ank1","Map4k4","1810037i17rik","Egr1"
"685","Bcat2","Sybu","Cbx7","Tubb6","Nrp2","Pik3r6","6030429g01rik","Aoc2","Myo10","Lyve1","Blvrb","Cfh","Cd2ap","Frmd4a","Timp2","Vasp","Arnt2","Gm2a"
"686","Trim67","Irak2","Phka1","Col1a2","Sdr39u1","Fmnl3","Fam114a1","Slc48a1","Slc6a17","Sepn1","Neo1","Tmcc3","Gabbr1","Ndufb11","Ttll7","Itsn2","Rpl8","5830428m24rik"
"687","Itgb1","Ntrk3","Icam2","Lzts2","Cfb","Gbp3","Lrp8","Apoe","Jph2","Brp44","Abca6","Abca9","Kif1a","Rhou","Coro2b","C130022k22rik","Wls","Sh3pxd2a"
"688","C1rl","Rbm33","Pim2","Pitpnm2","Foxo3","Rpl32","Shfm1","Ell2","Ncor2","Cd81","Cd68","5730508b09rik","Ssfa2","Rwdd2a","Rnasel","Cdk11b","Prdx1","Ubb"
"689","Cyp51","Atm","Akap2","Prex2","Rab44","Socs3","Crip1","Fam126a","Fyn","Skap2","Itgb1","Fnip2","Tet1","Atp5d","Bzw2","Dennd1b","P4htm","Cd40lg"
"690","Dag1","Eml5","Ppl","Scube2","5430435g22rik","Tcn2","Soat1","Cd36","Gm5148","Hvcn1","Serpina11","Slc16a10","Trio","Itga1","Pfn2","Phf15","Pacsin3","Mif"
"691","Fam46a","Glul","Tmem229b","Usp28","Bc005764","Bst2","Fam84b","Mylip","Sobp","Inpp5a","Tsku","Tcn2","Ets1","Mrpl30","Mchr1","Zfp292","Rps3","Osbpl5"
"692","8430408g22rik","Gramd1b","Glcci1","D830005e20rik","Ly6a","Lpp","Lpp","Ptprcap","C1rb","Elf4",NA,"Trim2","D15ertd621e","Camk1","Eif2s3y","Arhgef2","S100a13","Trat1"
"693","Gstm1","Rgl1","Lrrfip1","Ppap2b","Slfn8","Thrsp","Atp5j","Apbb1ip","Lepre1","Map4k2",NA,"Ccdc34","Thrsp","Hivep3","Scrn1","Smc5","Csf1","Rplp1"
"694","Rps6ka3","Cpt1a","Mcm5","1300001i01rik","Tsix","Lrrc32","1700001l19rik","Artn","Osr1","Slc31a2",NA,"Sh3bgrl","Ktn1","Pvrl1","Wipf3","Enpp4","Nr1d1","Fkbp1a"
"695","Adcy6","Per2","Ubl3","Slc36a2","Fasn","Plaur","Dpy30","1110038d17rik","Plekho2","Isg15",NA,"Fscn1","Uba7","Vamp8","Sgcz","Rnf43","Ptpdc1","Phf15"
"696","App","Tnk2","Usp11","Ankrd33b","Slc25a24","Il10rb","Efhc1","Selenbp1","Ptprn","Tspan13",NA,"Nhsl2","Akap5","Fam78b","Spnb2","Nol8","9330182l06rik","Rasa3"
"697","Rplp0","Ccdc136","Nuak2","Oxnad1","Ptprj","Pkd2","Scamp1","Zwilch","Steap3","Vegfa",NA,"Sparc","Arhgap22","Lmo4","Syn3","Ptpn4","Rcbtb1","Slc25a4"
"698","Ffar2","Gramd1a","Tmem64","Samd4","Mink1","Sh3tc1","Abhd14a","Oas1g","Ell2","Rassf2",NA,"Dusp1","Limd2","Lat2","Ociad2","Foxp1","Rps5","Uba52"
"699","Myo5a","Aass","Plxnd1","Beta-s","Iqcg","Fam55b","Mmd2","Pola2","Rps9","Ube2l6",NA,"Fosl2","Gpr155","Lmf1","Nat8l","Pkp3","Tmem229b","Ndufa6"
"700","Slc25a5","Robo2","Zfp507","Kif13a","Abcd1","Gstm1","Plcb4","Unc5cl","Cebpd","Wdfy3",NA,"Pik3cg","Prrc2a","Nme3","Cacnb3","Rnf20","Aes","Nol7"
"701","Zcchc24","Atf7","Arhgef11","Palmd","Cd63","1190002h23rik","Plek2","Rplp2","Rps26","5430421n21rik",NA,"Tgfb2","Crkl","Racgap1","Gprin3","Atrx","Itfg3","Rpl4"
"702","Alcam","Pcdhgc4","Fcgrt","Pdha1","Sulf2","4930455h04rik","Sh3bgrl","Hspbap1","Sbno2","Gramd1a",NA,"Ctdspl","Ehbp1","Dcxr","Zeb2","Hnrnpul1","Tmem189","Prmt1"
"703","Islr","Tet2","Nop56","Ung","A430078g23rik","Trim12a","Ccdc67","Pml","Epb4.1l1","Tnfaip8",NA,"Dpy19l1","Prune2","Itfg3","Atp5f1","Cd200r4","Acsl1","Hddc2"
"704","Nrg4","Pcdhgc3","Rap1gap","Ybx2","Kif13b","Rbms1","Clec4a3","Cast","Tubb2b","Gpc1",NA,"Mnda","Tmem132a","Pik3cg","Mmp17","Tgoln1","Grik2","Scd2"
