"","B_cells","B_cells_pro","Basophils","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Fibroblasts","ILC","Macrophages","Mast_cells","Microglia","Monocytes","Neutrophils","NK_cells","NKT","Stem_cells","Stromal_cells","T_cells","Tgd"
"1130",NA,"PLEKHM3",NA,"STIL",NA,NA,NA,NA,NA,"GAS7",NA,NA,NA,NA,"TMEM2","PHF21A","IFT80",NA,"CLN6","ANAPC5"
"1131",NA,"CLIC4",NA,"DDX10",NA,NA,NA,NA,NA,"H2AFZ",NA,NA,NA,NA,"ZCCHC11","SLFN10-PS","IGHM",NA,"HTATSF1","DAD1"
"1132",NA,"CSF2RB2",NA,"GLRX",NA,NA,NA,NA,NA,"ZEB2OS",NA,NA,NA,NA,"BAZ2A","UTP20","IVNS1ABP",NA,"IFIH1","GM7079"
"1133",NA,"GM5786",NA,"KLF4",NA,NA,NA,NA,NA,"IDH3A",NA,NA,NA,NA,"SMAD7","BCL2L1","LRRC8C",NA,"NAA25","GM9001"
"1134",NA,"GM7926",NA,"PSMC5",NA,NA,NA,NA,NA,"LMBRD1",NA,NA,NA,NA,NA,"BTG1","ORC2",NA,"TAF9B","RPS2"
"1135",NA,"SLFN1",NA,"GEM",NA,NA,NA,NA,NA,"LRRK2",NA,NA,NA,NA,NA,"DBF4","SRPK2",NA,"THEM6","SH3BP5"
"1136",NA,"2610524H06RIK",NA,"H2-K2",NA,NA,NA,NA,NA,"TCP1",NA,NA,NA,NA,NA,"DOCK9","TYROBP",NA,"MCTS2","CEPT1"
"1137",NA,"DEF6",NA,"APAF1",NA,NA,NA,NA,NA,"MDH1",NA,NA,NA,NA,NA,"NAA15","CMC4",NA,"SLC31A1","KDM5B"
"1138",NA,"EPSTI1",NA,"CENPE",NA,NA,NA,NA,NA,"PPP1R9A",NA,NA,NA,NA,NA,"RGS3","GM9794",NA,"TSPAN3","MAGOH"
"1139",NA,"CNN2",NA,"GM9001",NA,NA,NA,NA,NA,"TSPAN32",NA,NA,NA,NA,NA,"GM8292","HSPA13",NA,"ATP8B2","NRIP1"
"1140",NA,"DAP",NA,"NIPA2",NA,NA,NA,NA,NA,"EHBP1L1",NA,NA,NA,NA,NA,"NCL","AP3S2",NA,"CPSF2","SDF2L1"
