"","B_cells","B_cells_pro","Basophils","DC","Endothelial_cells","Eosinophils","Epithelial_cells","Fibroblasts","ILC","Macrophages","Mast_cells","Microglia","Monocytes","Neutrophils","NK_cells","NKT","Stem_cells","Stromal_cells","T_cells","Tgd"
"262","RUBCN","PTPRC","GDA","FAM129A","FBLN5","PLEK","CD63","TIMP2","CASP4","ACER3","GEM","PLPP1","GM1966","PBX1","SLC25A24","SELPLG","STAT4","SOD3","RNF125","PPAT"
"263","IFI208","CDCA7L","SORL1","CD200R1","AR","CPA3","BPIFC","ID3","RTN4RL1","SLA","TMEM64","SLC46A3","ZEB2","CPD","STK39","RUNDC3B","CPQ","HEY2","RACGAP1","VAV1"
"264","TBC1D10C","HIST1H2AK","JUN","RNF19B","CD63","GM15352","DUSP4","ABCA9","PDCD5-PS","IL6ST","NFKBIZ","APP","PTPRC","CORO1A","ZDHHC15","SERPINB9","HOOK1","GEM","SLC25A4","FAM105A"
"265","SRPK3","CD72","CD53","SELPLG","GBP4","SORT1","PDLIM1","SPNS2","RAB37","CMTM3","SCAMP1","MS4A6B","GRK5","RFLNB","ARHGAP15","NA.83","HSPD1","EMCN","RCBTB1","CD84"
"266","PECAM1","TTK","STAP1","PLXNB2","SHANK3","AMPD3","ELOVL7","TMEM47","ATP1B1","ABCA1","FYB","NCKAP1L","IRF7","GM5331","ENPP1","DOCK2","LIG1","GSN","VAV1","SPRY2"
"267","SDC4","TACC3","GATA1","ST8SIA4","BHLHE40","PERP","SLC9A7","RYK","LRRC8B","LACC1","CD24A","CEACAM1","PLCG2","CD9","CD55","SNORD34","RACGAP1","CYP1B1","MYB","RINL"
"268","MS4A6C","JAKMIP1","BIN2","ARHGAP5","CSF2RB","SEPT1","ANXA4","EGFR","SNORA28","PTPRC","STK39","CYTH4","SYK","DOK3","DOCK5","SLFN2","SLC38A1","NRIP2","ATP1B3","P2RX7"
"269","FAM129C","CAMK1D","NEDD4","SERPINB9","SLC43A3","GDA","SCGB1A1","SERPINA1B","GM3550","UNC93B1","SLC41A3","MILR1","ARHGAP15","CD53","MINOS1","TNFSF14","FAM65B","TIMP2","HDAC2","NCAPD2"
"270","TSPAN32","SNORD55","RASAL3","PTAFR","ADAMTS9","FGFR1","IFI203","GPR176","TRDJ1","PDLIM1","DNAJB4","OTUD1","CXCR4","CD300A","CX3CR1","RAVER2","AFF3","MYOF","FAM102A","HDAC2"
"271","LYN","SNORA74A","C5AR2","EGR1","SIRPA","6430548M08RIK","IFI202B","GSTM5","EPSTI1","SNORD61","RGS10","MGAT4A","LRRK2","IGF1R","SLA","S100A6","SMC2","APBB2","ARHGAP45","CCNB2"
"272","DOCK2","SLC14A1","CHIC2","CXCL9","TINAGL1","DBI","FABP5","ASPN","PTPRC","FYB","RAB44","PAG1","CD53","DFNA5","IFI47","CD247","KIF4","JAG1","TAGAP","DTX1"
"273","KLHL6","CMTM7","KLHL6","HAAO","CXCL10","UNC5C","SEMA6D","ENTPD2","PIK3AP1","WDFY4","TMBIM1","DHRS3","C5AR1","UGT1A5","TMEM71","UBASH3A","CENPI","GHR","ATP2A3","SMC2"
"274","MILR1","IL31RA","SATB1","LGALS3","8430408G22RIK","PLXND1","LY6I","CXCL10","GM9835","NAAA","CD53","LPXN","IL6ST","SLFN2","SNORD33","PIP5K1B","NCF1","SERPINE2","VSIR","HIST2H2BB"
"275","IGHV1-69","ANP32E","ST8SIA4","ARHGAP30","GM4951","CLEC4A2","CES2G","KITL","PIP5K1B","NINJ1","FGFR1","CST3","SMPDL3A","PTPRC","ATP2A3","IKZF2","CCNF","GM4951","CYFIP2","INPP4B"
"276","PARP1","SLC43A3","ARAP3","NAAA","EGR1","FGL2","EGR1","DUSP1","ATP2B4","DUSP1","WDFY3","CYFIP1","LPCAT2","IFIT3","EYA1","ARHGAP10","NAPSA","JUN","PIK3CD","NEDD4"
"277","STAP1","RUNX2","NFIL3","PHF11A","SELE","PADI2","JUN","ATRNL1","SMT3H2-PS4","PIK3AP1","PRKCB","ATP6V0A1","RND3","ARHGAP15","RHOQ","FAM129A","MSH6","NRP1","HERC3","MLLT3"
"278","ATP6V0A1","GM18157","MIR142","H2-OB","PTRF","CORO1A","ACTN1","LOX","PODNL1","ITGA4","AR","ARHGAP12","CYP2AB1","ADSSL1","STK26","CD48","POLE2","IFITM2","IGF2R","CORO2A"
"279","MYO5A","RASAL3","RAB19","MREG","TFPI","CD52","RGS4","COL5A2","CISH","PTAFR","CYB5A","KCNK6","CLEC5A","CD52","ABCG2","LCP2","ASNS","CDC42BPA","RGS10","RPL7A"
"280","SERPINA3G","CTSG","DPP4","CCL3","PPIC","PLD1","GM4951","LIMA1","CDKN1A","MYO1F","GM5331","BANK1","UNC93B1","IGHV1-64","DOCK2","GBP9","ECT2","PLN","WDR12","AW112010"
"281","ARHGAP4","UNC93B1","ADGRE5","TNFAIP3","PARM1","KLRA2","ST14","DAPK1","FHL2","ADGRG6","EGR3","IL7R","SLA","ACAP1","CRIM1","TSR1","CD84","SEMA6D","LAPTM5","SASH3"
"282","PLEK","NOP58","MIRT2","DSE","IFITM2","SORL1","GBP8","GPC3","DBI","PLXDC2","PLXNC1","SLC37A2","FAM105A","HMOX1","RASAL3","ARHGAP4","TSR1","CTGF","IL18R1","LRMP"
"283","PLEKHM3","NCKAP1L","SEMA4A","FGR","ODC1","SLAIN1","IFITM2","PLEKHH2","RHOF","RGL1","TIAM1","LIFR","LY6C1","IFNLR1","MS4A4C","ENTPD1","PTPRCAP","MYADM","AW112010","NUDT21"
"284","CD84","TBC1D10C","BTBD19","NR4A2","MMP14","SLFN2","FN1","IL1RL2","PSD2","ADGRE5","FOS","VAV1","RAB31","CMPK2","KIT","LRMP","GINS1","DUSP1","ARL4C","KIF21B"
"285","BEND5","ATP1B1","MYO1F","FAM49A","PDPN","STAP1","GGACT","COL6A2","SNORA44","SLC15A3","TBC1D19","SOCS3","GSAP","MYADM","DDX43","CRIM1","STAP1","EGR1","TSPAN32","PPP3CC"
"286","GM9861","IFITM3","ITGB2","SNORD33","LY96","ZBTB16","LIMA1","CTSK","TSPAN32","PLEKHO1","PDLIM1","NRP1","MAFB","BMPR1A","IL2RG","NCKAP1L","ITIH5","SYTL2","ATM","IKZF1"
"287","RASGRP2","SLC38A1","KLF7","VAV1","PLXNB2","NEDD4","P3H2","DRAM1","OSBPL3","LGALS3","FAM105A","CORO1A","BCL6","NFE2","FAM105A","ARSB","HDAC2","CYGB","SLC12A7","CYFIP2"
"288","TCF4","CD48","MAPK12","PLCG2","RNASE4","DENND4A","PLCB4","RGS16","NR4A2","CLEC4D","PRKCA","ABHD15","TMEM176A","LGALS3","CD52","IFIT3","IDH2","AGMO","SMC4","NUF2"
"289","SH3BP5","MINOS1","FAAH","GSAP","TMEM204","IFITM3","SLC6A8","RPL7A","TMA7","GM5431","CREG1","PARVG","NCKAP1L","CASS4","SYNE3","BCL11B","CREG1","NBL1","S1PR4","PARVG"
"290","LAT2","NA.83","SELPLG","GPR141","GPRC5B","STK26","ANXA5","PLA2G4A","GM12755","EMP1","ESYT3","ASAH1","OAS3","NCKAP1L","KIF21B","TEX2","FGD4","KITL","RAC2","LAPTM5"
"291","CARMIL1","ALDH2","DOCK5","F630028O10RIK","ERRFI1","NCKAP1L","CYBB","CREB3L1","ITGA1","WDFY3","STAP1","NLRP3","OASL2","SLFN5","FCGR2B","STK17B","MIF-PS6","ESAM","SPATA13","ARHGAP9"
"292","LMO2","RASGRP2","LOC101055836","HCLS1","LY6A","GM7265","CRIP2","IIGP1","GSAP","SELPLG","CAR13","IL1RL2","ANXA2","SELPLG","H2-Q6","B4GALNT1","TFR2","CXCL10","KLF2","GM9844"
"293","TRIM59","FAM65B","KCNQ5","P2RY14","EMP1","CD180","CTSL","NR2F2","ODC1","CYTH4","LRRC8B","LRRC25","RBM47","SLA","FYB","LOC101056014","ANXA1","PAM","CD55","HIVEP2"
"294","HIVEP2","HIST1H1C","HVCN1","DOCK2","CD200","BHLHE40","PAPSS2","RND3","DOCK2","ASAH1","IKZF2","RGS2","CLEC4N","CXCR4","STK32C","SLAMF1","ATAD5","PDGFRA","SYTL2","RAB37"
"295","MYO1C","SELPLG","CASK","NUCB2","COCH","LST1","RYK","SCARA5","MFSD6","EVI2A","SLC29A1","BMPR1A","STK10","NT5E","S1PR1","SNORD42A","ANKRD28","ANXA1","PECAM1","MSH2"
"296","VAV1","LYL1","PTPRE","GLIPR1","ETS1","BIN2","KYNU","ANXA1","H2-Q5","FGR","CCL3","PLD1","DOCK1","FAM129A","SRGAP3","GM9844","PIK3CG","FAM26E","STK10","NOP58"
"297","LY9","CORO2A","NCEH1","BC028528","FOXC2","ATP2A3","SPINT2","NEDD4","DNAJB4","SORT1","EMILIN2","TMC7","CTSC","FAS","RNF43","IL12RB1","MYO1F","TNFRSF21","FAM46C","FAM129A"
"298","ALDH2","CEACAM1","TBC1D8","CYTH4","ROBO4","CD48","LRRC8B","GHR","SATB1","GM1966","CISH","ATP8A2","ADAP1","FBXL5","SLA2","ATP2B4","PARP1","ANPEP","ARHGAP30","ARHGAP30"
"299","PDE7A","TBC1D8","S100A11","ADGRE5","PRSS23","SLC11A1","LPO","ECM1","HIVEP2","ENPP1","FMN1","PTPRC","SEMA4A","CTSH","1700025G04RIK","TBC1D10C","EYA1","CSF2RB","PRKCB","RRM1"
"300","SLC38A1","GM8995","DAPP1","GRN","ECE1","6330407A03RIK","DEFB6","ITM2A","MYO1E","IQGAP2","RAPGEF2","LYL1","TRPS1","C5AR2","PTPN4","ADGRL1","CCT8","IFI204","PARVG","SLFN2"
"301","SCPEP1","GM10384","ARHGAP4","NET1","TIMP2","PTGDR2","PTPRK","RAPGEF5","SNAP23","CD200R4","RAB31","FYB","LYN","SYK","CASP1","SPN","TMEM176A","RAPGEF5","SCML4","SLC9A9"
"302","SLA","PLEKHO1","KLRB1F","NLRP3","NEDD4","PIK3R6","D17H6S56E-5","SPIB","NDUFS8","LAMP2","CD84","FMNL3","SELPLG","TNFRSF1A","NCKAP1L","PPP1R15A","MPL","FOXF1","SLC38A1","NCK2"
"303","CYFIP2","MCM2","OSBPL5","SNORD22","SERPINB6A","PTPN7","NETO2","CES2G","SAMSN1","ARHGEF12","CD48","PIK3AP1","RHOQ","CCDC126","KLF2","FAAH","NEDD4","STOM","LYPD6B","LPAR6"
"304","NLRC4","PHACTR2","ANXA1","PTPRJ","ARAP3","PRKCA","TMC4","SERPINA3C","S100A1","SH2D1B1","LIMA1","NEK6","H2-DMA","CD244","TRAF1","LAPTM5","CSF2RB","RRAS","NUDT21","CCNF"
"305","SNORD22","VAV1","VCL","STRIP2","PDGFB","ALCAM","PENK","VEGFC","CORO1A","BIN2","SLC16A1","MYO1F","EHD4","BIN2","IGF2R","HIVEP2","GM18157","SFRP2","SLC17A9","KIF15"
"306","SESN3","SLFN4","FOS","PLAC8","SNORD33","SELPLG","LAPTM5","SLC10A6","NFIL3","SLC38A6","ADGRL1","EVI2A","SLFN4","RPS6KA2","LGALS1","EPSTI1","CD81","ADRA2A","GM8995","ARHGAP4"
"307","RDH12","BACH2","ORAI2","PLEKHM3","FLRT3","CST7","RIN2","COPZ2","TNIK","LAPTM5","COPZ2","LAPTM5","SCPEP1","ADGRE5","H2-Q7","N-R5S136","CPNE2","MAGED1","DOCK11","SPATS2"
"308","GIMAP8","CD84","GM14005","SKAP2","TSC22D1","SMPDL3A","CXCL11","EBF3","ZFP831","CYTIP","SPRED1","TMCC3","CLEC2I","AMPD3","PLEKHA5","CYFIP2","TCP1","MAP3K7CL","GM9844","CYTH4"
"309","LPXN","GDA","MS4A4B","ITGAL","PDE2A","CTSE","CYP2F2","TGFBR3","ITIH5","B430306N03RIK","PDE4D","RPL7A","PIK3AP1","ARAP3","GRK5","NXPE3","KCNN4","FADS3","GIMAP5","SLC25A24"
"310","GM10288","NRGN","CD52","DDHD1","EPHX1","DENND3","TRAC","CSF1","DNAJB9","DOCK2","DHCR24","RASSF4","TNFRSF21","FYB","EPSTI1","MLLT3","RASGRP2","IFI44","SNORD22","IQGAP2"
"311","HCK","PECAM1","IL1RAP","RGS10","FLI1","NGP","PLS3","ENG","CD84","RRAS2","MTSS1","D730003I15RIK","CD84","S100A11","LOC101056014","GM5643","SLC43A1","VCL","LPXN","ABI3"
"312","STK26","CYFIP2","PIK3CG","IER5","BCL6B","RNASEL","SCNN1A","STMN2","PRR5","SEMA4A","CTSE","CKB","TBC1D9","SLC2A6","PPM1J","H2-Q7","SMS","NEDD4","CARD6","KNL1"
"313","ARHGAP30","F13A1","LCP2","CASK","IL2RG","CSF2RA","BMP7","SLAMF8","DGUOK","MYADM","GYG","RASGEF1B","GAPT","PLXNC1","IPCEF1","GM8995","RPS8-PS1","SGCE","IGTP","SNORD15B"
"314","CXCR4","FYB","CORO1A","SKIL","ICAM2","LOC102638110","USP18","AW112010","GM4708","SYK","GM11451","GM5431","ATRNL1","ALCAM","CD160","PVR","CMTM7","ACTN1","PSD4","DENND2D"
"315","IRF8","KCNG1","ABHD15","IFITM6","DOCK4","NQO2","TRIM13","TGFB3","SELENOP","RHOC","1700112E06RIK","SLCO4A1","LCP2","SLC22A15","PRKCB","DENND4A","OSBPL1A","MYOCD","TFRC","RAC2"
"316","TMEM163","CYTH4","GNA15","TBXAS1","PLXND1","PLK2","CDKN1A","HSPG2","EYA2","HIST1H2BC","PTPRC","CTSC","TREM1","VAV1","ITGB1","IKZF1","APEX1","PLEKHH2","IFNGR2","ARHGAP45"
"317","STAT4","DOCK2","ATP8A2","ATP6V0A1","TLL1","ZFP831","CHIL1","AOC3","IRS2","CD163","ID2","CD37","VAV1","VSIR","RPL7A","CORO2A","WDHD1","KDELR3","IGFBP4","ADAM19"
"318","IKZF1","ANP32B","FXYD5","LAPTM5","IER3","PLAC8","SERPINA7","CLIP3","ITGA4","VSIR","IL2RG","SNORD33","LAPTM5","TLR2","MYO1E","CYTH4","B3GNT5","ID3","SEPT6","CBX6"
"319","SLFN2","IKZF1","RAB37","PPP1R15A","CTLA2A","PTPN22","TNFRSF11A","TSPAN3","STK26","ATP6V0D2","LAPTM5","SH2B2","LILRA6","GPR65","CYFIP2","GSAP","HIST1H2BJ","PRSS23","DOCK8","CD24A"
"320","RASSF4","SNORA16A","ABCC2","ENTPD1","NOS3","PRKCB","ANXA1","FBLN1","TIPARP","IL18","NEDD4","RTN1","NLRP3","ATP1A3","ENTPD1","VAULTRC5","NEIL3","ACTG2","LRMP","ARHGAP11A"
"321","PLXNC1","MYC","RASSF3","CTNND1","LMO2","ANKRD33B","KCNH6","IFITM2","CCND2","GNGT2","AI427809","XLR","TNFRSF1A","ITGAX","LAPTM5","ERO1L","GM8995","OLFR78","GM13675","CMAH"
"322","FCHSD2","HIST1H2BG","RNASE12","CXCR4","SLC9A9","VCL","IFI44","MMP19","GM10269","TM6SF1","NCKAP1L","TMEM204","NOD1","GRINA","ARHGAP25","PARVG","HACD4","PCOLCE2","IQGAP2","BCL2"
"323","LAPTM5","RASA4","SPN","CRYBG3","SH3TC1","ITGB7","NECTIN1","SNORD33","VEGFA","MINOS1","ANGPT1","IER5","FAM129A","GSN","CTLA2B","RPS8-PS1","FERMT3","IGSF10","GM18157","SCML4"
"324","IL2RG","CD37","SELENOI","CD63","NRP2","TMIGD3","EXTL1","CLEC3B","NCKAP1L","PF4","CTNND1","FGD4","RRAS","ABTB1","GM8995","SASH3","KLHL6","PDLIM1","SMARCE1","SEPT6"
"325","IL10RA","RGL1","GM7582","N-R5S136","HHEX","NEURL3","STK39","SLC1A5","FAM102A","PRCP","ATF3","TBC1D9","MYADM","STAT4","HHEX","CLEC2I","GAS2L3","ST5","TRIM59","TSR1"
"326","PTPN6","ZFP608","OGFRL1","MALT1","TNS2","NAIP2","S100A14","HPGD","IL2RG","H2-DMA","CBLB","ACER3","FMNL1","PRKAR2B","IKZF1","RAC2","LAPTM5","DSTN","DENND1C","TES"
"327","LYL1","GM5853","SSH2","VWA5A","A4GALT","SNORA21","ENPP5","KDELR3","CYFIP2","BC028528","CYFIP2","DAGLB","NLRP1A","PSTPIP1","NAIP5","RCBTB2","NDC1","TJP1","ARHGEF18","ICOS"
"328","TFRC","KLHL6","P2RX4","FNBP1L","SNORD15B","PLCB2","SCD2","GXYLT2","LNCPINT","VAV1","PIK3CG","PIK3CG","FOS","NCF4","LRRK1","LPAR6","DOCK2","DGKB","H2-Q7","RAB27A"
"329","SNORD34","HHEX","DOCK2","ATP8B4","ITGA2B","ARHGAP10","GDPD1","VEGFA","SPRY2","CD52","DOCK11","H2-AA","DPP4","ANXA3","CTSD","LNCPINT","SATB1","VCAM1","PPP1R16B","RAB19"
"330","GM16042","SNORD42A","EGLN3","LIFR","SMYD2","MIRT2","TSPAN3","SRPX2","PTPN7","BLVRA","ZC3H12C","FRMD4A","DOCK2","6330407A03RIK","CAMK2N1","HRH4","CCNB2","DCBLD2","MYO1G","GPR174"
"331","SNX2","ITPR1","PADI4","GRAMD3","KLHL6","IL18RAP","ZFP750","ALDH1A1","DUSP10","NCF1","DOCK2","ZFP691","AP1S2","TIMP2","ENPP4","PDCD4","IDH1","CRIM1","NOP58","HACD3"
"332","ARHGAP25","BRIP1","SPRY2","KLHL6","ST6GALNAC3","NRM","NEDD4","RAMP2","DTX1","HIP1","P2RX4","SERPINF1","TMED2","ADGRG3","FCGR3","UTRN","GNA15","ADAMTS2","ANKRD44","PSD4"
"333","IGKV4-74","SSRP1","SLC26A3","B4GALT6","TSPAN18","PLCG2","AW112010","GPAM","TMEM154","BHLHE40","PDE1C","RHOH","SLFN2","GLIPR1","ARL4C","LY75","SLC16A1","P2RX1","ARHGAP9","GM18157"
"334","FOXO1","FMNL2","ADK","CLEC10A","PRKCDBP","DOCK2","TNFRSF11B","EMP2","COX7B","CTSD","GRAP2","ADAM15","GPR132","HCLS1","IL7R","RUNX3","LYL1","DAAM2","NT5E","DOCK11"
"335","MYO1G","GM20203","MIR505","NEDD4","SNORD16A","LAPTM5","PLET1","NTRK1","D16ERTD472E","LCP2","CHIC2","RAB31","IFI47","TRIM30D","XRCC5","KIF21B","AFAP1L1","FKBP10","XKRX","CXCR4"
"336","STK17B","CAMKV","SSBP2","ZEB2","C1S1","TRAF3IP3","HDC","SNORD22","ITGB2","PLD1","NFKBID","CYP4V3","ADRB2","ATRNL1","CYTH4","IGTP","DNPH1","GCNT2","GPR18","GM11451"
"337","RAC2","WEE1","CYFIP2","BIN2","LHFPL2","GM36195","MAP1B","LOXL1","PER1","ANXA5","CNTN4","FCRL1","SLC15A3","MAP3K15","PLSCR4","TSPAN32","GNL3","INPP4B","PRKD2","MEX3A"
"338","CD86","DHRS3","PLCB2","MET","TSPAN3","AGPAT4","H2-Q7","TRF","TCRG-V4","AK8","FYN","PPP1R15A","CYTH4","IL1RAP","GM10130","GPR183","FNBP1L","ITGA7","HCLS1","PRKCB"
"339","H60B","GM11451","NT5C3","ASAH1","JAG1","CD37","AXL","GSTT1","FYB","GM8995","CD37","PLOD1","CD2AP","CEBPD","VAV1","EMB","DDX1","CRIP1","PVR","WEE1"
"340","MAP3K1","ITGAL","LAPTM5","CD2AP","CPNE2","MYO1G","IL1R1","MMP23","TMEM64","EMP3","PIK3R6","TSPAN3","AXL","LY6C1","SLAIN1","NEDD4","MAP4K1","TRPC6","BDH1","EPCAM"
"341","PRR5","SNX30","PECAM1","CD81","PKN3","HEATR5A","CD52","BHLHE40","GCNT2","FAM105A","CEACAM1","MIR142","GM9844","STX11","GM9844","VAV1","LRMP","CASQ2","SLC35F2","F2R"
"342","AIM1","CD52","BACE1","NUAK2","CD300LG","GCNT2","CSRP1","FKBP7","CLEC2I","LPCAT2","CYTH4","TM6SF1","SPN","WDFY4","CARD6","SLC38A1","CKS1B","MYOM1","STAP1","RCBTB1"
"343","C130026I21RIK","GM13675","ITGB7","NECTIN1","TRP53I11","NKG7","CSF2RB","S100A6","FYN","AIM1","EPHX1","BTK","NABP1","TMEM156","RHOF","TNFAIP3","RABGGTB","EFEMP1","LSP1","HCLS1"
"344","NOP58","LAPTM5","DOK3","TLR1","GAS6","ASPH","LACC1","ANGPTL4","GRAMD1B","VAV3","PLK3","TCN2","RASGRP2","TNFSF13B","ARHGAP4","VAV3","PLCB2","PRKAR2B","STAMBPL1","ID2"
"345","SNORD15B","D17H6S56E-5","ID2","STAP1","B4GALT6","CERS6","ROBO1","TAGLN","SNORD82","ANXA2","TNIK","SNORD22","SLAMF7","PAG1","RAC2","CST7","TUBA4A","HIST1H2BC","ABCG3","SNORD34"
"346","TRP53I11","ZEB2","NBEAL2","MYADM","ABCA1","RASGRP2","ZC2HC1A","CD81","FAM65B","MCEMP1","RAC2","LYN","ALDH2","TNFSF14","ITGB7","A430078G23RIK","ITGA6","ANKRD1","HID1","GM8995"
"347","DGKD","HMMR","CD48","VAV3","NCEH1","CD44","DUSP1","IFI207","TXN1","BMP2","DENND4A","BTG2","BC147527","IFI207","ARHGEF18","NABP1","SNORD87","LIN7A","CYTH4","IKBKE"
"348","SAMD9L","PRR11","STK26","PRKCB","SNORD15A","GRINA","SLC44A1","GM11451","UGCG","RENBP","LRMP","KCND1","GM8995","RAC2","S1PR4","FAM46C","SYK","OLFML2A","FOXO1","AIM1"
"349","MPEG1","PPP3CC","ATP2A3","JAK2","ANXA1","SGMS2","PAX9","ZEB2","TSHZ3","CD81","IER3","1700017B05RIK","MCTP1","RIN2","SNORD42A","EGR1","SSRP1","NPAS2","RAB37","SPATA13"
"350","PKIG","RNU73B","RUNX1","ST8SIA1","GIMAP5","ALDH2","ABHD6","APOD","MRPL33","NAIP2","TCEAL9","HCLS1","IL17RA","NUDT4","DOCK11","ATP2A3","IGF1R","GM11451","RINL","TRAJ41"
"351","RHOH","BIRC5","FYN","PTPN22","TCF4","PHF20L1","HAL","ENPP5","SEPT6","PRKCH","TNFAIP3","KLHL6","IL18","D1ERTD622E","ADGRL4","CD44","ZEB2","MAMDC2","DNAJC15","PRC1"
"352","BHLHE41","RRM2","VSIR","F630111L10RIK","FXYD6","SGIP1","TSC22D1","SLC22A3","PPP1R15A","ABHD12","ATP6V0A1","TPBGL","DOK3","GADD45A","PGLYRP2","SLFN5","BC028528","CSRP1","NXPE3","HIST1H2BJ"
"353","GLCCI1","GIMAP7","FAM129A","DOCK8","SEPT10","IGF1R","DOCK9","XDH","ITGB3","PLD3","TNFRSF21","ST6GALNAC4","ZBP1","TBXAS1","GM13675","HSPH1","SLC25A4","BHLHE40","HOOK1","MYO1E"
"354","IGHV1-84","STAT4","GCNT2","LRMP","MINOS1","FXYD5","PAM","CXADR","IFI208","6330407A03RIK","GM614","TNFRSF21","CASP1","DOCK2","SNORD15B","PSD4","HCLS1","CD81","DDX1","HIST1H4F"
"355","MINOS1","PLEK","GPR174","IFNGR2","ANGPTL4","HIST1H4C","DENND2D","N-R5S136","RASGEF1B","MPP1","STK17B","CHN2","OAS2","GM1966","RASGRP2","FAM65B","BRIP1","NREP","ARHGAP10","PECAM1"
"356","FOXP1","TMEM229B","TMEM64","NCAPG2","ANGPT2","PRKX","GDA","CLMP","CD37","HCLS1","FXYD5","OLFML2B","SNORD61","DDX60","LRMP","HERC3","PHF6","CTNND1","BTBD11","PRKCA"
"357","PARVG","PIK3AP1","CD37","MIR142","GCNT1","FAM111A","JUP","PKD2","RNF125","TMBIM1","INPP5D","INPP5D","CRYBG3","LSP1","RNF125","ST6GALNAC3","APOE","NRARP","CHD7","LSP1"
"358","PRKCE","RAMP1","SNAP23","STK17B","RGL1","PTPRE","SUSD2","CD72","RNASE4","MYO1G","FBLIM1","SNORD15B","PLOD3","STK26","SLC35E3","CD37","NUSAP1","EDNRB","TES","BTBD11"
"359","BIN2","MYO1F","ARHGAP45","ST6GAL1","SERPINE1","MIR142","SYNPO2","DCHS1","CHST11","CSF2RB2","IKZF1","LOC102638110","LSP1","OSM","BC147527","ZBP1","RAC2","SLFN5","EGR1","CXXC5"
"360","DOCK11","GM12957","HIST1H1C","LYN","BMX","SNORA73B","ACPP","TNFSF8","IRAK3","CLEC4E","LGALS1","SLC16A6","CLEC4A2","RPL7A","GRAMD4","LYSMD2","HIST1H3D","NA.81","CTSS","ATM"
"361","PIRB","FCER1G","H2-OA","DPY19L1","CPD","STK17B","RAVER2","AKR1CL","LAPTM5","PGAP1","RAB37","ARHGAP4","VSIR","MIR142","S100A10","MCM6","EXOSC9","SPRY1","SLC9A9","STAP1"
"362","PIK3CG","MS4A6C","H2-OB","GPR137B-PS","CD81","CXCR4","ADGRG6","CYP2E1","SNORD49B","CYP27A1","ST3GAL5","AK1","GRN","GGT5","GM15854","PRKCB","HSPA9","DNAJB4","SNORD34","XDH"
"363","ST8SIA4","ARHGAP30","RAC2","CLEC4A1","FNBP1L","FAS","SERINC2","TNXB","GM8995","ALPK1","IGF1R","LCP2","TM6SF1","OLFM4","GAS7","ARHGAP30","NUP205","SGIP1","CD37","IFNGR2"
"364","ATM","RPS8-PS1","NCKAP1L","FYN","TGFB3","ARHGAP4","CXCL2","CCL9","PLXDC2","B4GALT6","RASGRP4","MT1","LACC1","LAPTM5","PFKP","NOP58","DOCK11","TUSC5","SLFN5","MYO1G"
"365","GM8995","XPC","MIR340","EPSTI1","MFGE8","CD53","IL1RN","MINOS1","TRF","S100A10","LYN","PLCG2","ANXA1","CD44","ATP1B3","QPCT","MCM4","EPHX1","TTC27","FAM92A"
"366","SLAIN1","CLEC2I","B4GALNT1","ZFP36L1","FGD5","B4GALNT1","H2-DMA","SLFN5","MYO1F","TNFRSF21","GPR174","FERMT3","TRF","IL6RA","IQGAP2","CHSY1","TPI1","PALM2","NABP1","JUN"
"367","PML","TRF","CDYL2","ANXA4","UNC5B","FOS","SGPP1","FAM180A","PADI2","CD63","GRAMD1B","ARHGAP25","PADI2","VAV3","SESN3","CARD11","TSPAN6","PTGS2","PRKCA","PIK3CG"
"368","GPR183","GM6252","VAT1","LMO2","KANK3","FGR","ERRFI1","CSRP1","BTG2","1810011O10RIK","DPYSL2","SKIL","SGK3","SLC44A1","TMEM243","CCNA2","DANCR","ART3","PLCXD2","ZFP831"
"369","NXPE2","NOS1AP","FHL2","PLCB2","VSIR","TSPAN32","FOSB","PRKCB","BZW2","ID2","AKAP2","TSPAN31","RARA","CASK","TTC39B","PLEKHA5","IKZF1","KCNMB1","MCM3","CARD11"
"370","HCLS1","FCHO1","GM2666","TNS3","SEMA6A","FUT4","RESP18","LY6C1","CYTH4","PLCG2","GOT1","TUBGCP5","NRP1","ARHGAP25","EMB","JUNB","TSPAN2","SCG3","ZBP1","ACP5"
"371","MARCH1","ATP2A3","MOCS1","LILR4B","SOCS3","RAC2","CLDN4","NPR2","RNF43","FERMT3","PPP3CC","GM12166","CTSB","PRKCB","HCLS1","LSP1","ABCG2","MT1","GM14085","TIMP2"
"372","GIMAP5","RAC2","6030469F06RIK","CYFIP2","C1QTNF7","NAPSA","PLEKHG1","AQP1","CCRL2","GLUL","CD2AP","SLC9A9","HCLS1","DENND3","TLR4","OSBPL3","SNORD16A","DMD","H2-T24","BHLHB9"
"373","SMS","CPNE2","ARRDC4","GM11545","PGLYRP1","TUBA8","MAL2","CALU","PDE3B","LYN","TM6SF1","HK2","IFNGR2","DGAT1","DSE","TNFRSF18","NPM1","RBPMS2","FMNL1","LY6A"
"374","DOCK8","FAM92A","GAB3","CPNE2","N-R5S136","BTG2","PAMR1","GM18157","MIR505","NLRP3","TCN2","DOCK2","NUAK2","CYFIP2","PDLIM1","ATP2B1","TM6SF1","PLCE1","SH3KBP1","BZW2"
