"","Adipocytes","Astrocytes","B_cells","BM","BM_._Prog.","Chondrocytes","CMP","DC","Embryonic_stem_cells","Endothelial_cells","Eosinophils","Epithelial_cells","Erythroblasts","Erythrocytes","Fibroblasts","Gametocytes","GMP","Hepatocytes","HSC","iPS_cells","Keratinocytes","Macrophages","Melanocytes","MEP","Mesangial_cells","Monocytes","MSC","Myelocytes","Myocytes","Neuroepithelial_cells","Neurons","Neutrophils","NK_cells","Osteoblasts","Pericytes","Platelets","Skeletal_muscle_cells","Smooth_muscle_cells","T_cells","Tissue_stem_cells"
"1057","CTNNB1","MOB1B","ANKRD13A","UTS2R","ACLY","CHMP4B","NRGN","SPPL2A","CRY1","DNASE1L1","CALR","MREG","TPCN1","ALG8","CCPG1",NA,"ATP10A",NA,"NDUFA12","BTG3",NA,"PPP1R18","CCT3","RCL1","CDKN1A","CBFA2T3","MYC","UBE2E1","MMP11","DDIT4","WDR12","GSN","RPS24","CRISPLD1","LINC00472","LPAR4",NA,"NR2F2","KIF5C","DYNLL1"
"1058","PTPN11","RAC1","SPRR4","CRIP1","AKT1","LNX1","SPN","SLC43A3","FEZ1","ZNF362","CYB5R4","SH3BGRL3","LMF2","NFYB","LPIN1",NA,"BCL7C",NA,"SLC38A6","DRAP1",NA,"SUN2","NCAM2","TBPL1","DNMT3B","CTSA","BLM","HGS","RNF144B","DNA2","GUSB","EPS15L1","SEC24B","IFI44","ARNTL2","MTCH1",NA,"SNHG6","TERF2","HSP90AB1"
"1059","CHPF","XIST","UNG","MED6","DENND2D","MBNL1","CKLF","KIAA0930","MARVELD3","CXORF36","FNDC3B","FDPS","MAPK6","PAQR9","ARMCX2",NA,"FXYD5",NA,"BUD31","RAB3B",NA,"TNFAIP8L1","WLS","REEP4","ETS1","FARSB","COMMD3","NDUFS4","HOMER1","MKI67","LMNB2","ST3GAL4","TADA1","ROR1","RAB3IP","SIRPG",NA,"WDR31","TOMM7","NDUFS5"
"1060","DNM1","CEP135","EBI3","PIWIL4","ISOC1","SCG5","NDUFS4","LRRC25","MLF1","HPX","ST14","ITM2C","TOP1","BOLA3-AS1","FOXM1",NA,"RNF175",NA,"DLEU2","ZYX",NA,"ZEB2","RUVBL1","CCT4","LSM10","RNF13","EDNRA","TREM1","IGF2BP3","CCNG2","TGFBI","TCN1","CHMP2A","PLEKHN1","ALDH2","CDR2",NA,"AKR1B1","CASP6","TMEM140"
"1061","FLNC","H2AFY","FAM159A","SMPDL3A","MCAT","TMBIM1","TIGD5","SEPHS2","CCAR1","IL4R","TMEM206","PDLIM5","KRT13","TMEM186","SLC39A13",NA,"RNASE4",NA,"LYRM5","AP1S1",NA,"RELT","SLC2A6","TSHZ1","RIPK4","STT3A","SEMA3C","GEMIN6","MILR1","CMC1","GPATCH4","USP10","WHAMM","MT1F","AARS","GLTSCR2",NA,"B2M","C1ORF228","GAA"
"1062","NME1","PCSK5","GPATCH4","TMEM160","METTL1","CLSTN1","EIF3E","ASAP2","DHRS3","MKKS","MX2","SEMA5A","RECQL4","TP53","COPE",NA,"CSK",NA,"RALY","CCNE1",NA,"STAT6","MCHR1","UTP14C","SEPT9","CDIPT","CRISPLD1","MATN2","NLRP1","FOXM1","PPTC7","CEACAM21","IMP3","TCTEX1D2","ALPK2","MKRN1",NA,"CORO1C","CBR3","IKBIP"
"1063","SCUBE2","PLD3","SYPL1","FAM217B","SNRNP200","GALR3","RYR3","ATF3","FARSB","APOA5","SLTM","HAUS1","RNF217","LARP7","CPZ",NA,"FAM134B",NA,"MRPL39","MYC",NA,"UBE2J1","TSPAN15","PARPBP","HBEGF","CTBP2","NID1","MKKS","PSMB5","NDNF","ZFP62","JUND","TMEM161A","RNF135","LMAN1","NUAK2",NA,"IBTK","MRPL36","TNP1"
"1064","CD68","ZNF100","TFB2M","KLHL2","STAM","PTGDS","DYRK3","GK","GNAI3","C17ORF82","FURIN","MFSD12","RPL8","ERCC6L","MGMT",NA,"MGLL",NA,"SLC35F2","MYL6B",NA,"ATP13A3","VAT1","RPL13A","HIST1H2BF","GAS6","COPE","NOTUM","PSMD3","TSPAN3","CBR1","RAF1","FAM122B","MAFG","NPFFR2","SLC35A1",NA,"ITGAE","RASSF3","APEX1"
"1065","KCNB1","ASF1A","LRIF1","LYSMD2","PRMT6","SOD2","GALR3","LAMTOR2","NCL","LRRC43","G0S2","TRIP6","SNORA71B","MRPS10","SCG5",NA,"DUSP14",NA,"IRF5","EXT1",NA,"MAP7D1","DDIT4","ARHGEF18","ZNF703","PHYH","PLAU","TIMM13","SOX11","ABCA1","SNCA","PDGFC","GALNT10","PHLDA3","FAM84B","ADHFE1",NA,"PTPN11","POLR3E","CCDC68"
"1066","NPL","FAM47C","PAPSS1","PDRG1","RBM15","GCH1","MPDZ","MRPS35","SLC30A3","YPEL2","SLC2A3","GALNT7","SLC16A11","RPL28","TPST1",NA,"CD2",NA,"MAPKAPK2","GNL3",NA,"PLP2","CENPN","FNBP1L","NUCB1","RAB8B","ATAD2","UAP1","CALM1","IFITM1","CACHD1","RELA","NELL2","HSPB8","KCNMA1","ANKRD13A",NA,"TMEM176B","ARRDC2","XAGE3"
"1067","AMY2B","ID3","TBL1X","ZDHHC2","ACTG1","MEGF10","MRPL36","STAT6","TEAD4","ANKRD53","ZMYM3","IBTK","APOBEC2","RPS6KA1","EVI2A",NA,"CYSTM1",NA,"MSN","TUBBP5",NA,"NDUFA1","RCAN3","NMRAL1","SDR39U1","RBX1","KANK2","BTBD1","COMT","MEX3B","CYBA","TGFA","SLC20A1","OXCT1","NAA50","GPR153",NA,"GBP2","HERPUD2","ARPC5"
"1068","HIST2H2BE","LPAR6","C5ORF15","HK2","HSPA1B","ZNF580","PIM3","TBC1D10C","TUBB","CDC42BPB","AFF2","TMEM47","ARHGEF6","SLC44A2","YIF1B",NA,"ORC6",NA,"ZNHIT1","AMOT",NA,"GALM","S100A13","GLO1","ALDH2","SLC43A3","PIEZO1","CELF2","NEK7","SLC1A6","RPL13A","HOTAIRM1","SLC37A3","SUMF1","PEG10","NAPB",NA,"SMAD6","LYRM5","CCL21"
"1069","LDB2","BTN3A2","CBFB","LTC4S","ATP5I","ZNF683","PSMC3","WNT5B","GRPR","TBPL1","APOBEC3C","ECE1","PSMG1","ADK","CD36",NA,"SKAP2",NA,"CLCN7","F3",NA,"METTL7B","TESK2","GPATCH4","AP1S1","CYSTM1","CRYZ","IFI30","RCSD1","ACTG2","CDK4","IRF9","SWAP70","TPSG1","DUSP10","PIK3R5",NA,"WFDC1","MAP2K6","SLC20A1"
"1070","MYCT1","LRIG3","CYTH4","VMP1","H2AFV","CSPG4","CASP6","GALM","MESDC1","AP2S1","RAPGEF1","EMP3","PTER","CALM2","PLIN2",NA,"SLPI",NA,"ITGAE","FAM24B",NA,"PSMB3","COL19A1","PTH2R","POLR2A","OSTC","HLA-G","RNF139","EVI5","FAM117A","BTAF1","LRRC70","FAM102B","ENC1","IMPDH1","SKAP1",NA,"BTG1","RTP4","ARHGEF6"
"1071","NBEAL1","NDUFA1","LRRC47","ZFP36","SEMA5B","GLRB","DMXL2","PLSCR1","NAA40","BLOC1S2","SLC22A18","KRT80","SLCO4A1","CUTC","PLK1",NA,"DYRK3",NA,"MRPL24","HLA-A",NA,"LYL1","CPT1A","FXN","SRD5A1","ARHGAP10","MKKS","STAT3","IFITM10","ZNF432","NDUFA13","STOM","GATSL2","NETO2","IQGAP3","COX20",NA,"JUN","TBCA","IL17C"
"1072","PKIG","TMEM167B","NDUFS8","FASTKD1","SLC25A32","MRFAP1","EEF1E1","PSMB3","NET1","BRD3","MAP3K11","PECAM1","VMP1","FAM19A2","TRIP13",NA,"FOXM1",NA,"NFU1","S100A10",NA,"MRPS36","EIF2S1","HMGB1","TMED3","PKD2L1","P4HB","ANKMY2","OST4","RCAN2","ASXL1","XRN2","PIEZO1","ACPT","GBP2","GJB1",NA,"KCNS2","INPP5E","KRT19"
"1073","RGS3","AKAP12","PAPD7","IRS2","CBFB","OCEL1","PRKDC","RPF2","PFKM","FCGRT","PAK4","AES","BAHD1","UCHL3","LRPAP1",NA,"MLKL",NA,"RASSF2","ZNF22",NA,"SCIN","RAB11FIP4","NLRC5","CLSTN3","POU2F2","PPP5C","ATP6AP1","TMED2","CRYAB","HIF1A","AP1G1","ZMIZ1","CFL2","JDP2","IRS2",NA,"MGAT4B","FNIP2","MECOM"
"1074","MYH10","EML1","UBE2L6","PRUNE2","METAP2","PIBF1","ATP13A1","TRIP10","SFN","GSTA4","RNF10","SH3TC1","MKRN1","AGPAT5","SLC9A9",NA,"NLRC5",NA,"ARRDC3","HYLS1",NA,"SORT1","SFXN3","PIM3","KDM5C","SCAND1","GDF15","MRPS35","U2AF2","GNAI3","LSM4","SEMA7A","TFEB","KIAA0232","KIAA0101","DDHD2",NA,"ADORA2B","VPS35","MITD1"
"1075","TCF12","FZD7","DNAJC30","SF3B5","NUP155","TCIRG1","DNAJC9","ADCY7","DEFB124","SACS","TMEM184B","FERMT1","MRPL2","CASP3","TUBA1A",NA,"TLR8",NA,"DNTTIP2","AVPR1B",NA,"STAG2","A2M","PRMT3","MFSD10","NOA1","MB21D2","PRDX3","HIGD1A","TES","PCYOX1L","ST3GAL6","GYPC","LDHB","PTPRH","RPS16",NA,"EXOC6","CYTH4","SUZ12"
"1076","ECHDC2","SLC25A43","SF3B5","SLC22A31","WDR81","UAP1","MAD2L2","PLEKHA5","KPNA4","AIM1","TMEM143","KDELR3","TMEM126A","ING3","GLRX",NA,"TMEM205",NA,"NDUFA13","NIPSNAP1",NA,"AGL","DOCK1","SH3BGRL2","EGFR","PLEKHN1","MRPS21","PAPSS1","NEK6","TXNL1","PSMC3","TRMT6","LST1","FBLL1","LOXL4","MAN1A1",NA,"MCM4","MYADM","CDX1"
"1077","IFI27L2","HIF1A","DOCK11","BANK1","WEE1","SYTL2","STAMBPL1","TRIP6","NOVA1","KPNA4","MTA1","RAB6A","GDPD5","MLC1","PDE4B",NA,"ACACA",NA,"NUDT1","TEAD4",NA,"RAB32","FOXRED2","DUT","SHROOM2","PLP2","MSH2","PKN1","ZDHHC20","ANKRD46","SEMA4C","CXORF21","MORC2-AS1","JKAMP","MPRIP","NPPA",NA,"RAB6A","NDUFS3","CMC1"
"1078","NTRK2","PDXP","HK1","CD81","MZT2B","HSPG2","TGFB1I1","UQCRQ","STT3A","TTBK1","PPOX","CTSS","HK2","PLP2","RARRES1",NA,"GLO1",NA,"PCIF1","WDR70",NA,"RAP2A","PTPRJ","THAP10","VARS","BZW2","SFXN3","SELPLG","ADD3","CNRIP1","PFN1","IMPA2","RASSF3","NEO1","NBEAL1","PIK3CG",NA,"RRAGC","ZBTB44","LRTM2"
"1079","TP53I11","PGM1","LMNB1","PRDX1","XAGE3","SLC31A1","MARVELD1","ARV1","ZNF100","C6ORF15","ZNF675","MICB","SF1","CACYBP","CENPK",NA,"MDFIC",NA,"POLR2E","FARP1",NA,"TDRD9","GSTM3","DNLZ","NRK","CPQ","TEAD4","ARV1","IMPDH1","KLHDC9","SLC4A1AP","LPCAT1","SLC25A32","PPP1R32","PFKP","PLCL2",NA,"SLC25A24","KLF6","MAML1"
"1080","USF2","CDIPT","RPS23","DTX4","NUP35","VMP1","CAPZA2","EPSTI1","HS6ST2","CYBA","P2RX6","CYP26B1","UBR3","PTER","CRTAP",NA,"CHPT1",NA,"DHX9","ZDHHC23",NA,"CD46","USP53","KIAA0355","RPL4","GAR1","ARHGEF6","CAHM","TUBA4A","LINGO3","CPNE3","LRRFIP1","SMAP2","PRICKLE1","PGM3","S100B",NA,"SLC7A11","MED10","ITPKA"
"1081","HNRNPC","COX6C","HIPK4","TAGAP","SSSCA1","YPEL2","PAN3-AS1","PRKAR2B","HTATIP2","AK8","ITPK1","GIMAP4","ODC1","SSSCA1","KLC1",NA,"PHYH",NA,"MTPAP","DTX3L",NA,"PYGL","CRTAP","SEMA5B","SLC37A4","HPRT1","SERPINF1","SPAG5","KCNJ8","LMNB2","SLC16A14","SENP6","SS18L2","FNBP1","LRRC8C","SLC22A31",NA,"SPON2","ATP5J2","CAPG"
"1082","SH3PXD2B","CTXN1","RAD51AP1","ZBTB34","MINA","ZNF175","TIPIN","ZNF697","RPL13A","CPNE3","NMI","NAP1L1","SUPT16H","CBX5","PDGFC",NA,"PLOD3",NA,"PPP1R12C","GRPR",NA,"RABAC1","DVL2","STEAP3","COBLL1","MAML1","GJC1","DECR2","MYH9","FDPS","NR3C1","TGFB1","TLE4","PSMB5","RPL31","CLDN5",NA,"CAPG","DCP1B","FAM127A"
"1083","RRAS","DLEU1","ABHD3","SLC31A2","SNORA71B","MGST3","ARHGEF18","EXOC3L2","SLC25A13","CYP1A1","AIF1","STT3A","ZNF592","CENPL","SHCBP1",NA,"TOB1",NA,"TUBA4A","PCNA",NA,"NINL","SOX13","TIMP1","KHSRP","MESDC1","HIF1A","ERG","BICC1","GLTSCR2","S1PR4","KIF21B","CHORDC1","CMTM8","CANX","KIAA0355",NA,"TNFAIP3","TMED2","SPON2"
"1084","SASH3","ST5","DNAJC15","ZWILCH","TMC6","CTSZ","FAM193A","FLT1","TMEM132B","DLL4","CAMTA2","RPL31","OCIAD2","PSMA6","ECM1",NA,"B3GNTL1",NA,"AKT1","TACC3",NA,"PI4KA","HLA-DMA","BTAF1","SQLE","RRN3P2","PLAC9","PLEKHM3","PDXP","RCBTB2","CRYZ","MYO9B","DENR","SLC5A5","CLIP2","LST1",NA,"ZWILCH","C19ORF53","NXNL1"
"1085","TMEM30A","TAF9","RABGAP1L","PWP1","UQCRQ","ERAL1","GDPD1","NDUFA1","KDM5B","MTCH1","CATSPERG","SCARF1","POC1B","SERPINI1","MYH9",NA,"CITED4",NA,"CORO1C","ZNF426",NA,"VAMP3","PRPS2","FAM118A","UQCR10","TAF12","FRMD4A","POLE4","ZNF528","SMAD1","TIFA","NFKBID","EML4","YPEL2","MKL1","PPM1L",NA,"PALM","GALNT11","PGD"
"1086","ANGPTL1","ZNF385D","MAFF","UQCRC1","C2ORF82","TUBA1A","RNF144A","MYLIP","PELI2","COL13A1","CDKN2D","CMTM3","ARRDC4","CCND2","NXN",NA,"FCN1",NA,"EID1","MCCC2",NA,"AKIP1","EVI2A","SEMA4D","BGN","IMP3","NTM","FLOT1","ZNHIT1","C7ORF73","ASPHD2","NKX3-1","FAM189B","ANXA4","PSMB8","PRRX2",NA,"PCSK1N","REC8","PTPRCAP"
"1087","PSMC3","PRPF4B","MCM7","ANXA4","CDIPT","BLOC1S2","SLC22A5","CHFR","CCT4","HMGB3","PPBP","KLC1","DNTTIP2","DHRS7","FILIP1L",NA,"GEMIN6",NA,"MRPL10","TMEM54",NA,"DOPEY2","ILVBL","TES","FRMD4B","PRNP","TSPAN10","MAP1LC3A","CORO1B","CRY1","CDC23","VDR","RBBP5","CMKLR1","SCYL1","SLC35E3",NA,"SEZ6L2","TECPR1","SF3B5"
"1088","SETD7","LMBRD1","PSMC4","COMMD8","CEP135","DYNLT1","SLC39A4","MATK","EXOC3L2","TSPAN3","SHKBP1","SEMA6B","HSPA13","DNAJB6","LSM10",NA,"MILR1",NA,"NDUFA11","GYG2",NA,"OGFRL1","MGST1","BEND3","SORCS3","SUN2","ZCCHC24","ARPC1B","GNB4","MAGEE1","ELMO1","BID","ZNF33A","EML1","GALNT3","TSC22D3",NA,"MTHFD2","ZNF783","BCL10"
"1089","C6","S100A13","TMEM60","MAP2K6","DIMT1","GBF1","CDCA8","SLC7A8","MAP9","CTTN","USF1","BOLA3","NEK2","ILF2","RAC2",NA,"NRARP",NA,"PCGF5","HPS3",NA,"TMEM220","SPINT1","FAM8A1","YDJC","NDUFS6","MCM4","CCDC22","IFI44","ASPM","FBXO21","GAB2","DENND4B","MAOA","PXDC1","TSPYL2",NA,"MYL12A","AARS","CDIPT"
"1090","MTSS1","UBA1","COMMD3","PAFAH1B3","HIST1H2AM","PARVA","HOXB5","BCL7A","TUBA1C","GABRR2","FAM173A","IKBKB","PLOD3","PSMB8","SERBP1",NA,"CABLES2",NA,"SSFA2","LINGO3",NA,"TUBG1","TTK","HBG2","FBXW9","TBC1D10C","IFITM2","GAS7","TBX15","DCTPP1","GLTSCR2","LAMP2","HNRNPCL1","PARP14","SCUBE3","ZNF559",NA,"SPRED1","ABCC10","EDNRA"
"1091","RPS6KA1","UNC13B","DNAJA3","LGALSL","LGALS1","PCK2","AHSP","GALNS","C19ORF54","MRPL47","INPP5A","MYH10","PPP1R3B","PLAC8","TIMP4",NA,"JUNB",NA,"ADAM15","EEF1E1",NA,"PNP","HOMER1","NTHL1","PSMD8","NME1","MMP25","MMGT1","TNNI2","GJC1","PLAGL1","RAP1GAP2","MLKL","SACS","DPF3","FAM171A1",NA,"CP","DIS3L","EPB41L4A-AS1"
"1092","COL14A1","YWHAG","EEF1E1","PLXNC1","MORC3","SH3RF3","RBBP8","PDLIM4","C1ORF61","CCR5","PSMB8","MZT2A","TJAP1","SLFN11","TNFRSF10D",NA,"RBKS",NA,"BRIX1","MEGF10",NA,"PSMC3","PARP9","ECI1","STAC","RAB37","PLAUR","CTSA","TRIM28","NCAPD2","PRDX1","SKAP2","RRBP1","GSPT2","ICAM4","RSPH1",NA,"FGD5-AS1","TNFRSF1A","FST"
"1093","FAM111A","ZNF558","NDUFS3","RABGAP1L","MYD88","MAB21L2","SDF4","CIB1","FAM111B","IKBIP","RGS1","PEBP1","ZC3H4","USF1","ACAT2",NA,"AMOT",NA,"SSR3","MRAP2",NA,"TBC1D2B","SLC22A18","HIST1H2BK","CYFIP1","JUP","TMED7","FAM50B","ANKRD28","RPL13A","CHCHD10","TLR10","SH3BGRL","ANKRD46","CTBP2","FAM63A",NA,"NDUFS5","TNK1","IFI30"
"1094","SNX10","MORF4L2","RGS16","IMPA2","SAMD9","NDUFS5","STAM","DSC2","MB21D2","ACO1","SH2D3C","RBM4","COQ10B","PCGF5","CDC42BPB",NA,"ANKRD28",NA,"ZZEF1","PRAF2",NA,"NDUFB3","EIF4G1","KLF10","TSHR","UBE2D4","PGM1","LSM4","LMBRD2","IGF2BP1","CHMP4B","ABR","KDM2B","GALNT3","COL14A1","GSPT2",NA,"SQLE","ARPC1B","CMTM6"
"1095","C9ORF3","MPV17L","SRSF9","NDUFA12","IER5","SLC9A1","C11ORF74","HSPA6","RABGAP1L","REEP5","ST3GAL6","SHROOM3","F11R","RGS16","GABRE",NA,"DBI",NA,"COPE","CD200",NA,"SLC25A40","TMEM138","MPST","CLDN11","GPR89B","S1PR4","PHF11","UCP2","RBBP8","ZRSR2","P2RY10","PUF60","MAP2K1","PLCD3","NFIB",NA,"UNC5B","PMF1","CTSD"
"1096","DDIT4","RWDD1","CDC37","AVPR1B","POLR1B","CD70","NANOS3","IRF5","CMC1","CHRNA2","ST6GALNAC2","ALDH2","GADD45A","UBXN1","GLIS3",NA,"LRRC8C",NA,"TCIRG1","IFITM2",NA,"COX5B","AMOTL2","TMEM161A","OLFML2A","NDUFAB1","YTHDF1","TTC19","ALDOA","RUVBL1","CDK19","PPM1F","SPATA2L","SRSF9","TNKS1BP1","PSMD14",NA,"CTNNA1","SH2B2","LAMTOR2"
"1097","EIF4E3","STK33","SLC25A6","PLA2G4A","RPL13A","CYSTM1","P4HB","NFXL1","GNAI1","TNFRSF1A","FCHSD1","APEH","OXCT1","BNIP3L","ZC3H4",NA,"PRDX1",NA,"AFF1","NDUFA13",NA,"LPAR6","CANX","AGMAT","SOX4","NDUFS8","ING2","ZYX","APLP1","HBG2","CDK5RAP3","LMTK2","MRPL13","TSSK3","BMP2","SESTD1",NA,"RIN1","C5ORF51","MRFAP1"
"1098","MBNL2","AGPAT5","WWC3","RWDD1","CEP57L1","GCNT1","TIMP3","P2RX7","RIF1","OPTN","GADD45B","C15ORF52","VRK2","CTNNBL1","DAAM2",NA,"CARD11",NA,"DHRS7","UBE2NL",NA,"SLC20A1","EHD4","FPGS","UBXN6","IL27RA","PRNP","CRISPLD2","DUSP10","RFC4","IARS","SFN","FNIP2","RALGAPA1","CPT1A","TMC8",NA,"TRAPPC1","CFLAR","PRKAR2B"
"1099","NRN1","MAGEE1","ATP6V1F","SATB1","DDX3Y","IL34","MID1IP1","RELT","CASP3","COX4I2","SLC41A3","PPP5C","ZNF211","IARS","FKBP11",NA,"LPXN",NA,"SLC16A3","ERI3",NA,"SOX13","ITGAV","MAP4K1","ARHGEF16","LLPH","MYLK2","DANCR","FLVCR2","UBE4A","ITGAE","AKTIP","LASP1","GPD1L","CTSC","LILRA4",NA,"ADCY1","COX5B","TMSB10"
"1100","CAPZA2","PBX1","GRB2","TAF12","HNRNPUL2","MEF2C","NUDT19","SMAP2","DYNLL1","MSRA","TSTD1","RIPK4","ZNF408","PVALB","GBP3",NA,"PRDX3",NA,"COMMD9","MRPS6",NA,"TRIM4","LRRC8B","NRM","DOK1","C11ORF16","UTP6","SUOX","MFSD12","SORL1","NOTUM","LOXL1","LTBP3","INHBE","CXCL6","MYL12A",NA,"ITGA10","EEF1A1","EMP2"
"1101","MT1M","B4GALT5","PRPF4B","CORO1C","LSM7","MESP2","PEBP1","ADAM19","MYL6B","NCOA7","C7ORF43","SERPINE2","BZW2","DDX5","PCDHGB7",NA,"ASPHD2",NA,"FAIM","TRIM28",NA,"ANP32B","LRRK2","PLEK","EIF5A","COX5B","WIPI1","ARVCF","SNRPB","FBXO21","AGPAT5","PATL2","DDOST","MTHFD1L","DAPK3","ADORA2B",NA,"MT2A","FCGBP","MGST3"
"1102","SFRP4","C11ORF49","PTRHD1","DNAJC9","HIRA","SGCD","PRG3","BTAF1","MAP2K1","RNASE4","TACC3","TNFSF18","CD46","TTI2","EGFR",NA,"CA2",NA,"FAM111A","CHCHD1",NA,"SLC2A3","OBSL1","TIGD2","GAL3ST1","MMP25","NKIRAS1","BHLHE40","CLSTN2","RNASEH2A","CDIPT","MGAT4A","LYSMD3","PARP12","IFI16","ANKRD10",NA,"NME1","PHACTR4","NPTN"
"1103","IQGAP1","SRP14","SAT2","LEMD3","RBBP8","CHRNA2","TMEM205","KDM2B","ROMO1","ADAMTS18","ARHGAP17","U2AF2","CDKN2D","AP2M1","FAIM2",NA,"CALHM2",NA,"PGLS","PHLDA3",NA,"TMEM135","UTRN","MAN2B1","PRSS36","EPB41L4A-AS1","SEC24B","CTSD","PMP22","SYT11","CTSC","NEBL","PIM3","SLC25A43","MEIS2","ANKRD49",NA,"RAB3B","SKA2","RAP1GAP"
"1104","BIN1","AHNAK2","SF1","TMEM161A","ALAS1","COMMD8","TTK","TNFRSF4","UNC5A","GNAI2","GRK5","CALU","ARHGAP18","FAM111A","NTNG1",NA,"NHP2",NA,"SNX20","RWDD2B",NA,"TNFRSF14","ATP6V1A","SRD5A3","CREB3L1","H1F0","PSMG1","PADI2","PTPRF","BCHE","HPCAL1","BTNL3","TTC19","SLC6A7","VEZT","BCL10",NA,"SAT1","GBP4","RGS17"
"1105","HSPA9","CAMSAP2","TERF2","TUBA4A","DECR1","ESPNL","HIST1H2BG","PLA2G16","SERPINI1","GPR21","KLF7","SOX9","ASPG","GEMIN7","PKIG",NA,"NUDT19",NA,"ANTXR2","SAP25",NA,"CIB1","BEX1","C7ORF26","RBM38","LAMTOR2","TRIM59","TMEM205","GAS1","CLIC1","RPL8","CITED4","ANKHD1","STEAP1","AP3D1","CCNY",NA,"ENAH","SEC11C","SLC6A17"
"1106","MYL12A","CMC1","PQLC3","ZNF23","SCAP","GHDC","VARS2","PSD3","SRSF2","AK1","AHSA2","ALDH3B2","CCDC71L","TCP11L2","YPEL3",NA,"VCAN",NA,"C20ORF96","TAF9",NA,"RHOBTB3","GGH","HK2","STC2","P2RX1","VASN","UBA2","PRKAG3","PHYH","UGT8","GRINA","TRIM56","VAMP4","CYB5R2","MARCH2",NA,"SUN1","BUD31","ATP1B1"
"1107","CA4","NDUFS4","TADA2B","BORA","SPTB","PPP1R2","CALR","PSMC3","B3GAT1","CETN3","MXD4","BIRC5","CDC27","TMEM167A","CXCL2",NA,"FAM193A",NA,"CD68","HERPUD1",NA,"ZC3H4","RNF157","SMYD2","TRIM47","TMEM70","EIF1","CCDC125","ELAVL2","TMSB10","IDH1","OSTF1","HNRNPUL2","NEFM","ID1","POC1B",NA,"GALNT6","FBLN5","ERAL1"
"1108","CFL2","RNF141","UQCRQ","PSIP1","C19ORF53","SLC39A10","COQ3","RMI1","NAALAD2","GAS2L2","TRIM47","CD248","NDUFA8","VAPA","ALDOA",NA,"ANLN",NA,"MOV10","MTCH1",NA,"AK8","SNX7","ZNF69","BTBD2","BTG2","TCTEX1D2","PLA2G4A","RARB","PHF13","MXI1","ROPN1L","SPEN","TCEAL4","PLAGL1","RARRES3",NA,"LRPAP1","GEMIN6","MAN1A1"
"1109","PDLIM5","UBE2NL","CYSTM1","RPP40","DDX41","IARS","GPR21","FNBP1","ASPG","KLF10","CERS4","FAM43A","VAT1L","PFDN4","FAM189B",NA,"COMMD8",NA,"USP11","BAIAP2L1",NA,"BCL10","UCK2","ZSCAN18","NETO2","IFI35","MXRA7","TMEM241","ARPC5","PRPF4B","SMAD7","UBE2D3","LPGAT1","MANSC1","PSPH","ZNF101",NA,"PITX1","MTCH1","NMI"
"1110","PSMB8","ZNF189","LCLAT1","TMEM205","EPHB4","PSMG4","INPP4B","IKZF1","PSMD12","SLC43A3","SOCS1","ICAM1","VPS37C","SLA","TMEM14A",NA,"HLA-DPB1",NA,"COG3","CCNC",NA,"GALNS","ASAP2","ZWILCH","PSMB5","MXI1","NUDT9","VNN1","FGD5-AS1","HSPB8","MRPL3","FAS","NDUFS4","PIGP","RAB32","DMXL2",NA,"S100A10","PPM1K","PRNP"
"1111","ETS1","RABAC1","METTL17","HLA-F-AS1","PHF13","RPS21","LILRB3","KCNQ1","ZNF518A","CARTPT","ACTR3","PPDPF","AMIGO2","G3BP1","COL13A1",NA,"IRF2BPL",NA,"RPL35A","FAR2",NA,"UQCRQ","PLD3","AIMP2","ATP11A","QDPR","TSPYL4","HNRNPA0","TPPP3","PAK1","NASP","HIST1H2BI","PAPD7","PPIB","DAP","LPXN",NA,"SUZ12","HIST1H4C","CRELD2"
"1112","FLI1","TXNL1","MRPL3","NXT2","TMEM177","ITPR1","PTRF","ZC3H4","BPTF","CLDN11","MGAT3","C9ORF16","MRPL27","CDCA5","ARPC5",NA,"USF2",NA,"TES","IGDCC3",NA,"CCT8","AP3D1","EPHB4","CDH3","TMED2","ARNT2","TRA2A","WIPI1","PRKCZ","SLC35B3","NAV2","RAP2A","PTCRA","TRABD","NFKBIZ",NA,"C6ORF141","MRPL13","NETO2"
"1113","HSDL2","EGF","NDUFS7","FNBP1L","TRIM4","MCC","CARD11","ASAH1","CPNE3","FAM57A","ZNF407","OSTC","GNAQ","TTC32","DENND2A",NA,"C14ORF169",NA,"GAB2","KIAA1211",NA,"CDK14","DUSP23","HOXA5","FBN2","ISG15","MOXD1","UBE2D4","HIST1H2BB","RHOC","HMX1","EID3","ADRM1","KPNA2","CKAP2L","PLEKHF1",NA,"ESR1","PWP1","PAFAH1B3"
"1114","NEK6","SPAG1","BCL9","MAPK6","TTC27","SPRED3","DSE","CASP7","LINGO3","H1FX","PARP12","ATP12A","HIST1H4E","NONO","GNAI2",NA,"CAD",NA,"ITGAL","TUBB",NA,"NAT1","ECM1","ASB13","KLC1","NEU1","NEK7","UBE2J1","RARRES2","CD200","PRICKLE1","FLI1","GLRX5","SACM1L","MRVI1","TMEM106C",NA,"FH","BET1","SERINC5"
