"","Adipocytes","Astrocytes","B_cells","BM","BM_._Prog.","Chondrocytes","CMP","DC","Embryonic_stem_cells","Endothelial_cells","Eosinophils","Epithelial_cells","Erythroblasts","Erythrocytes","Fibroblasts","Gametocytes","GMP","Hepatocytes","HSC","iPS_cells","Keratinocytes","Macrophages","Melanocytes","MEP","Mesangial_cells","Monocytes","MSC","Myelocytes","Myocytes","Neuroepithelial_cells","Neurons","Neutrophils","NK_cells","Osteoblasts","Pericytes","Platelets","Skeletal_muscle_cells","Smooth_muscle_cells","T_cells","Tissue_stem_cells"
"23","SORBS1","SOX9","PNOC","ARG1","MT1G","DCN","LRRC70","A2M","RBPMS2","TFPI2","LFNG","PKP3","GFI1B","SPTA1","LAMA4","BMP15","MYB","AZGP1","TPM3","LRRN1","SERPINB5","TYROBP","MFSD12","KIT","HIST1H4F","FCER1G","ACTA2","S100A8","COL12A1","SIX3","CSRP2","AQP9","HOPX","COL5A1","TIMP3","SH3BGRL2","ENO3","COL6A1","IL2RB","LOXL1"
"24","MGP","IGDCC4","LY86","MS4A3","RFESD","CILP2","HOPX","HLA-DQA1","TOX3","ARHGAP29","LGALS12","CDH3","HBQ1","NFE2","SERPINE1","OTX2","PLAC8","LGALS4","EEF1A1","KRT19","KRT5","CCR1","NOV","PRKAR2B","KIRREL","LYZ","CXCL12","PGLYRP1","NNMT","PRTG","BEX1","MGAM","EOMES","NTN4","CLMP","SLC35D3","COX6A2","STC2","THEMIS","WNT5A"
"25","COL6A2","FXYD6","IRF8","RNASE3","PVT1","COL6A3","PLAC8","CCL17","GAL","TM4SF1","PIK3R6","SFN","HBB","RHCE","TWIST2","TCL1B","PRG2","FGA","AIF1","FZD7","SBSN","SLAMF7","HIST1H2BM","RFESD","HIST1H4B","IL10RA","WNT5A","CLEC5A","PTX3","COL2A1","IGFBPL1","SLC11A1","NLRC3","DEPTOR","COL6A3","SLC24A3","MYH2","PTX3","SELL","PPP1R3C"
"26","RPL10","S100B","CR2","LCN2","CA2","COL1A2","HBD","FCER2","SALL2","MTUS1","ANKRD44","KRT6B","KCNH2","RPL10","TPM4","DAZL","CST7","ADH1A","HNRNPA1","CD24","IVL","HCK","CAPN3","PLAC8","FASN","CCR1","COL5A2","TACSTD2","RGS4","SOX2","TFPI2","CMTM2","CST7","CDH13","HIST1H4H","ITK","TNNI2","NRP1","CCL5","PTX3"
"27","LUM","TMSB15A","HLA-DMB","DNTT","APOC1","FNDC1","KIAA0125","AQP9","SALL4","SRPX","ALOX5","SDC1","PKLR","EIF1AY","NNMT","ARMC2","GUSBP11","ALDH8A1","RGS18","DMKN","LCE2B","APOC1","HIST1H3C","EREG","COL4A2","SERPINA1","ID1","S100A9","COL1A1","TCEAL7","MLLT11","STEAP4","RUNX3","PTX3","HIST1H4L","GZMA","FBXO32","TMEM200A","CYTIP","TAGLN"
"28","MFAP5","TUBB2B","LRMP","S100P","KEL","LOXL1","IL1B","HCK","CRABP1","MGP","SYNE1","PTHLH","PDZK1IP1","LXN","POSTN","DSCR8","CSTA","SERPINA3","RPL27A","GPC4","CDSN","BCL2A1","CYSLTR2","APOC1","TPM4","FGR","IGFBP3","MMP8","TPM4","NELL2","CHN1","MMP9","CD69","HOXC6","HMGA2","ACRBP","RYR1","GREM1","CD69","CDH11"
"29","LAMA4","CFI","CPNE5","MNDA","NFE2","NDUFA4L2","EREG","IGSF6","GPC4","S1PR1","SIGLEC8","COL17A1","MT1G","MLLT3","C1S","STAG3","CLC","ADH1B","RHOH","PROM1","KRT17","TMEM176B","SOX10","PIP5K1B","HIST1H3A","EVI2B","HOXC6","S100A12","FBN1","LRRN1","CADM1","LRRK2","RASGRP1","COL5A2","HIST1H2BL","GRB14","CKMT2","MMP1","CD247","GJA1"
"30","FASN","SYNM","HLA-DRB1","EPB42","APOBEC3B","CTHRC1","PF4","C1QA","OTX2","NNMT","UNC13D","RPPH1","SLC4A1","MRPL39","TPM2","H1FOO","LY86","CYP3A4","LST1","NMU","SERPINB4","FCER1G","QPCT","IL1B","NREP","CX3CR1","LUM","CTSG","RPL10","PCDH19","BEX2","C5AR1","CCL4","EFEMP1","SERPINE1","ZNF185","EEF1A2","IGFBP6","CD48","THBS2"
"31","NNMT","SLC35F1","SP140","ORM1","CD36","SNAI2","KIT","CD86","FGF13","GIMAP4","DENND3","F3","HMBS","CD36","MGP","UNC13C","BLNK","ALDOB","HIST1H1E","FAM46B","WFDC5","CD14","HIST1H2AL","TFR2","NNMT","SLC7A7","PTX3","ALOX5AP","SYNPO2","ARX","LMO3","ITGAX","PVRIG","DSP","CTHRC1","GIMAP7","SYNPO2","NNMT","CD27","HTRA1"
"32","CLU","PCDHB10","VNN2","VPREB3","RHCE","IGFBP3","CST7","SPP1","FZD7","PTX3","FFAR2","AGR2","CR1L","GATA1","TAGLN","TDRD6","S100A8","TM4SF4","C1ORF228","TET1","GJB2","A2M","MITF","GFI1B","COL4A1","TLR2","SNAI2","NKG7","SULF1","HES5","ZNF536","FCN1","PPP1R16B","VEGFC","HIST1H4D","TRAT1","TNNI1","EDIL3","SKAP1","COX7A1"
"33","IGFBP5","INSM1","CORO1A","AZU1","ANK1","ACAN","LYZ","CCR1","CACHD1","RHOJ","SPI1","CLDN1","CD36","KIAA0101","IGFBP5","NLRP9","TNFSF13B","C9","GAPT","SOX2","SDR16C5","LYZ","HIST1H1B","UCA1","HIST1H4H","LILRB1","SPOCK1","ELANE","DCN","LINC00461","NEFL","PTPRC","CD2","PPP1R3C","COL12A1","SDPR","ANKRD2","COL5A2","IL10RA","COL11A1"
"34","CPM","CORO2B","CD180","PPBP","GAD1","CTGF","P2RY8","TREM2","VASH2","CAV1","S100A9","TACSTD2","NFE2","RPL27A","RPL10","ADAD1","F13A1","AKR1C4","STMN1","SALL4","S100A2","TREM2","MX1","SPTA1","PLK2","ITGB2","NID2","GGTA1P","COL6A2","HS6ST2","SPOCK1","IFIT2","CX3CR1","SNAI2","RPL10","MMRN1","PYGM","NT5E","CCR7","TWIST1"
"35","DPT","ASCL1","EVI2B","RETN","EPCAM","NNMT","CD69","NCF2","TET1","MCAM","NCF2","PERP","ANKLE1","ESCO2","TMEM119","FOXR1","KIAA0125","DIO1","RPS27A","GJA1","GJB6","CXCL16","IGSF11","APOBEC3B","SERPINE1","CD48","COL5A1","TYROBP","GREM1","ACTC1","CPXM1","HCK","GBP5","EGR2","HIST1H4B","EGF","MYOZ1","TGFBI","GIMAP2","DKK1"
"36","RPL13","CRISPLD1","HLA-DPA1","HEMGN","PIP5K1B","GLT8D2","HBB","FOXQ1","POU5F1P3","GIMAP6","PTGDR2","ITGB4","HBM","HIST1H1B","PCOLCE","DDX43","FCER1A","AMBP","FCER1A","DSP","DMKN","ITGB2","LZTS1","ALDH1A1","RPL27A","CLEC7A","CSRP2","LYZ","COL5A2","ZNF423","MAP1B","G0S2","KIR3DL2","VGLL3","WNT5A","BMP6","CASQ1","GJA1","EVI2B","SULF1"
"37","RNASE1","MIR100HG","CYTIP","S100A9","GATA1","NDNF","NFE2","TYROBP","PROM1","GJA1","ARHGAP4","DMKN","TMEM56","HNRNPA1","IGFBP3","CLEC10A","RNASE6","ITIH3","ARHGDIB","OLFML3","CNFN","CYBB","ERBB3","KIAA0125","HIST1H2AM","LST1","GJA1","MYB","RPL13","CDO1","SGCE","PROK2","RNF125","CTHRC1","HIST1H1E","CD226","OBSCN","FGF7","BCL11B","ABI3BP"
"38","CFD","HOPX","HLA-DRA","S100A8","WNK3","LOX","C1ORF228","C10ORF128","CD24","FAM43A","RNF166","CDH1","CCNE1","NACA","SRPX","C6ORF52","KIT","VTN","GMFG","CTGF","MUCL1","ITGAM","HIST1H4D","FCER1A","EDIL3","VNN2","CYR61","PROK2","CAV1","FGF13","UCHL1","ITGAM","IL10RA","LURAP1L","FAP","GPR18","TCAP","PDGFRA","GBP5","TGFBI"
"39","FHL1","KLHDC8A","HLA-DMA","TCL1A","MUC1","COL5A1","AREG","RNASE6","PLP1","IFI27","HIST1H1E","MAL2","PIP5K1B","UBE2V2","SPARC","DMRTB1","P2RY8","F9","HLA-DMA","SALL1","ALOX12B","CD52","HIST1H1E","C16ORF54","COL3A1","EVI2A","CDH11","MPO","CCND1","GPC3","RND3","CLEC4E","SH2D1B","GJA1","PLAT","NLRC3","MYBPC2","LOXL1","EVI2A","FNDC1"
"40","CD163","BEX1","RHOH","HBB","TFR2","GREM1","GAPT","ITGAM","NAP1L3","NTN4","SMPD3","DSC3","GMPR","HMGB1","CXCL12","PRR15","CEBPA","PON1","MZB1","ZFP42","CXCL14","CCRL2","HIST1H4F","CA2","TAGLN","IGSF6","CAV1","PLAC8","DKK1","ZIC1","RBP1","NCF2","ITGAL","TAGLN","FN1","MYZAP","ACTN2","TM4SF1","P2RY8","SERPINE1"
"41","COL3A1","SOX2","PTPRCAP","VNN2","PRKAR2B","OLFML3","IGLL3P","IL10RA","NMU","CDH13","GMIP","ITGB6","TSPO2","SLC25A37","C1R","DEPDC7","CD48","HPR","LAT2","ID1","ASPRV1","FABP4","IFI44L","BTK","COL5A1","CSTA","CPA4","PRTN3","NT5E","PLP1","CPE","LYZ","TYROBP","CCDC80","TAGLN","SEC14L5","CA3","COL12A1","S1PR1","PCOLCE"
"42","GHR","NXPH1","BLK","CTSG","HPGDS","COL8A2","C16ORF54","SLAMF8","DMKN","PECAM1","MMP25","DSP","MYL4","EEF1A1","MFAP5","FIGLA","C1ORF228","APOA1","PLEK","TCF7L1","SPRR2G","MS4A4A","HIST1H3A","COCH","FSTL3","LGALS2","COL11A1","GPR160","POSTN","SOX9","CDH2","IL18RAP","CD300A","PLSCR4","FBN1","GPR171","PDLIM3","RGS4","PLAC8","COL4A2"
